"role","content","created_at"
"user","Begin het gesprek","2025-09-29T16:05:01.216235+00:00"
"assistant","Hier is een casus om het onderwerp te introduceren:

De opslag van glucose in het lichaam gebeurt vooral in de vorm van glycogeen, met name in lever en spieren. Dit glycogeen kan worden vrijgemaakt als er energie nodig is, bijvoorbeeld tussen maaltijden of tijdens inspanning. Bij zogeheten glycogeenstapelingsziekten (GSD's) is dit proces verstoord door aangeboren enzymdefecten. Hierdoor krijgt het lichaam moeite met het op peil houden van de bloedglucose, vooral tijdens vasten. Om dit tekort te compenseren, schakelt het andere metabole paden in. In het geval van GSD zijn deze alternatieve routes, zoals de Cori-cyclus, vaak onvoldoende.

Een 3-jarig meisje met GSD komt bij de dokter omdat ze erg prikkelbaar is en een opgezwollen buik heeft. Haar lever is vergroot. Bloedonderzoek laat het volgende zien:
Bloedglucose: 45 mg/dL (normaal: 70–110 mg/dL)  
Bloedketonen: Negatief (normaal: negatief)  
Lactaat: 4,2 mmol/L (normaal: 0,5–2,0 mmol/L)  

Kun jij in je eigen woorden uitleggen wat er in dit geval is gebeurd?","2025-09-29T16:05:18.338117+00:00"
"user","Het meisje met GSD kan de glycogeen die opgeslagen is in de lever niet omzetten in glycose, daarom is de lever ook verdikt. Doordat de spieren nu glucose te kort komen produceren zij onder anaerobe omstandigheden glucose waardoor er veel lactaat vrijkomt. De waarde van de bloedketenen is normaal aangezien die te maken hebben met de productie van glucose buiten de cyclus van de glycogeen.","2025-09-29T16:08:20.39173+00:00"
"assistant","Goed geprobeerd! Voordat we verder gaan, laten we even stilstaan bij de basis om het fundament goed te leggen. Dit helpt straks bij het analyseren van de casus. Heb je op dit moment vragen over dit onderwerp of bepaalde onduidelijkheden?

Zo niet, zullen we samen wat basiskennis ophalen. Kun je mij vertellen wat je weet over glycolyse? Wat gebeurt er in die pathway, waar vindt het plaats en wat zijn grofweg de inputs en outputs?","2025-09-29T16:08:27.995475+00:00"
"user","Glycolyse vind plaats in de lever.","2025-09-29T16:09:19.504774+00:00"
"assistant","Je noemt de lever als locatie. Glycolyse komt daar inderdaad voor, maar glycolyse vindt eigenlijk in alle cellen in het cytoplasma plaats, dus ook in spiercellen en andere weefsels.

Kun je uitleggen wat het doel is van glycolyse? Wat gebeurt er tijdens deze route met glucose, en wat levert het op?","2025-09-29T16:09:27.03439+00:00"
"user","Het doel van glycolyse is om ATP te produceren die de cellen nodig hebben voor energie.","2025-09-29T16:10:05.522724+00:00"
"assistant","Klopt, ATP-productie is inderdaad het belangrijkste doel! Glycolyse zet glucose om in een ander molecuul waarbij energie vrijkomt.

Weet je nog in welk eindproduct glucose tijdens de glycolyse wordt omgezet? Wat komt er aan het einde van de glycolyse uit glucose vrij, naast ATP?","2025-09-29T16:10:14.080902+00:00"
"user","Adp en p","2025-09-29T16:10:35.322664+00:00"
"assistant","Je zit in de buurt: tijdens het proces wordt ADP omgezet in ATP door fosforylering, maar er komt nog een ander belangrijk eindproduct uit de glycolyse zelf. Naast ATP, welk klein organisch molecuul ontstaat er na volledige afbraak van één glucose tijdens de glycolyse? 

Kun je dat noemen? Denk aan een molecuul van drie koolstofatomen.","2025-09-29T16:10:42.950918+00:00"
"user","citroenzuur","2025-09-29T16:11:01.392776+00:00"
"assistant","Citroenzuur is een goed molecuul, maar dat hoort bij de citroenzuurcyclus (ook wel de Krebs-cyclus genoemd), die volgt na de glycolyse.

Bij glycolyse wordt glucose (met 6 koolstofatomen) afgebroken tot twee moleculen van elk 3 koolstofatomen. Weet je nu welk molecuul dat is? Het is de directe voorloper van latere stapjes in de citroenzuurcyclus of bij anaerobe omzettingen. Misschien heb je er wel eens van gehoord: het begint met een “p”...","2025-09-29T16:11:11.276724+00:00"
"user","dat zegt me niets","2025-09-29T16:11:42.54655+00:00"
