"role","content","created_at"
"user","laten we beginnen","2025-11-12T15:52:43.807117+00:00"
"assistant","Welcome! In this activity, you’ll work with a virtual tutor to explore how haemostasis happens through key physiological principles. You’ll be guided to build your own narrative that explains what happens and why in a clinical situation.

Creating your own story about a case helps you connect ideas, remember them longer, and apply this knowledge in future clinical situations. At the same time, this way of reasoning mirrors how doctors make sense of what happens in their patients—and one day, you’ll use it to work and reason together with your own patients.

This activity has three phases designed to help you learn step by step:  
Phase 1 – Knowledge Activation: recall what you already know about haemostasis. The first case serves as a trigger to help you think and reflect — we’ll return to the case once we’ve completed this knowledge activation phase.  
Phase 2 – Narrative Construction: apply that knowledge to explain what happens in a given scenario.  
Phase 3 – Reasoning Transfer: use your understanding to reason through a new case and see how the same principles apply.

Please note that you can access feedback on your learning progress at any time by clicking the feedback button — it’s a helpful way to reflect on what you’ve learned and what to focus on next!

Ready to begin?

[■□□□□]  20% – Knowledge activation started! Let’s recall how haemostasis works step by step!","2025-11-12T15:53:02.120727+00:00"
"user","kun je in het nederlands gaan","2025-11-12T15:53:10.732578+00:00"
"assistant","Natuurlijk! We schakelen over naar het Nederlands.

Hier volgt de eerste casus als startpunt voor ons gesprek:

Een 60-jarige vrouw presenteert zich met levensbedreigende bloedingen. Ze gebruikt warfarine, een antistollingsmiddel dat werkt op de vitamine K-afhankelijke stollingsfactoren, vanwege een hartprobleem. De afgelopen dagen merkte ze al bloedend tandvlees op.  
Laboratoriumresultaten:
1. Protrombinetijd (PT): Verlengd  
2. Geactiveerde partiële tromboplastinetijd (aPTT): licht verlengd  
3. Aantal bloedplaatjes: Normaal  
4. Fibrinogeen: Normaal

Kun je de symptomen van deze patiënt en haar laboratoriumuitslagen uitleggen?

","2025-11-12T15:53:28.990102+00:00"
"user","de protrombinetijd is verlengd wat betekent dat het langer duurt voordat er een stolsel wordt gevormd","2025-11-12T15:56:15.20916+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Goed gedaan! Laten we even pauzeren en beginnen aan Fase 1 – Kennisactivatie. In deze fase herhalen we kort de belangrijkste begrippen en processen die relevant zijn voor het geval. Heb je eerst nog vragen of punten die je wilt verduidelijken voordat we verdergaan?

[■■□□□]  40% – Knowledge activation afgerond! Goed bezig – je redeneervaardigheden groeien!","2025-11-12T15:56:25.790689+00:00"
"user","nee","2025-11-12T15:56:29.016178+00:00"
"assistant","Als je denkt aan hoe het lichaam bloedverlies stopt na een verwonding aan een bloedvat, welke hoofdprocessen komen er dan in je op?

","2025-11-12T15:56:35.409857+00:00"
"user","stollingsfactoren en bloedplaatjes","2025-11-12T15:56:44.900834+00:00"
"assistant","Klopt! Die twee onderdelen spelen inderdaad een grote rol. Kun je in je eigen woorden uitleggen wat bloedplaatjes doen en wat de stollingsfactoren doen bij het stoppen van een bloeding? Wat is het verschil tussen hun functies?

","2025-11-12T15:56:52.133345+00:00"
"user","ze zetten een cSCADE IN GANG EN ZORGEN VOOR DE OPHOPING VAN BLOEDPLAATJES","2025-11-12T15:57:08.165948+00:00"
"assistant","Mooi, je noemt al de cascade en bloedplaatjes. Zou je nog iets verder kunnen toelichten:  
Hoe werken bloedplaatjes en stollingsfactoren samen? Is er een volgorde in hun werking bij het ontstaan van een stolsel?  

Heb je bijvoorbeeld gehoord van “primaire” en “secundaire” hemostase? Kun je beschrijven wat deze termen inhouden en hoe ze op elkaar aansluiten?

","2025-11-12T15:57:15.544922+00:00"
"user","bij de primaire hemostatse wordt er een eerste ophoping van bloedplaatjes gemaakt en bij de secundaire hemostatse wordt dit een stevig bloedstolsel","2025-11-12T15:58:26.609095+00:00"
"assistant","Dat is juist! Primaire hemostase zorgt dus voor de eerste ‘prop’ van bloedplaatjes, en secundaire hemostase verstevigt die prop met een netwerk, namelijk fibrine.

Kun je uitleggen hoe het proces van secundaire hemostase (“de stollingscascade”) in gang wordt gezet? Er zijn namelijk verschillende ‘routes’ die hierin een rol spelen. Wat weet je over de intrinsieke en extrinsieke route? Waarom bestaan er eigenlijk verschillende ingangen tot die cascade?

","2025-11-12T15:58:34.919962+00:00"
"user","de intriensieke route wordt geactiveerd na contact met iets niet lichaam eigen waarna de stollingscascade in gang wordt gezet. dit begint bij factor 7","2025-11-12T15:59:45.41626+00:00"
"assistant","Je zit al in de juiste richting met het verschil tussen lichaamseigen en niet-lichaamseigen contact! Om het compleet te maken:

De intrinsieke route wordt inderdaad geactiveerd als bloed in contact komt met bijvoorbeeld een beschadigde vaatwand of een negatief geladen oppervlak, en start meestal bij factor XII (en niet VII).  
De extrinsieke route begint bij blootstelling van weefselfactor (tissue factor) na beschadiging van het weefsel – en deze route start bij factor VII.

Kun je nu uitleggen waar deze routes samenkomen in de stollingscascade, en wat het einddoel van deze cascade is?

","2025-11-12T15:59:56.728936+00:00"
"user","ze komen samen bij factor 10 en het einddoel is het vormen van fibrine","2025-11-12T16:00:51.178666+00:00"
