"role","content","created_at"
"user","laten we beginnen","2025-11-12T15:51:31.39726+00:00"
"assistant","Welcome! In this activity, you’ll work with a virtual tutor to explore how haemostasis happens through key physiological principles. You’ll be guided to build your own narrative that explains what happens and why in a clinical situation.

Creating your own story about a case helps you connect ideas, remember them longer, and apply this knowledge in future clinical situations. At the same time, this way of reasoning mirrors how doctors make sense of what happens in their patients—and one day, you’ll use it to work and reason together with your own patients.

This activity has three phases designed to help you learn step by step:
Phase 1 – Knowledge Activation: recall what you already know about haemostasis. The first case serves as a trigger to help you think and reflect — we’ll return to the case once we’ve completed this knowledge activation phase.
Phase 2 – Narrative Construction: apply that knowledge to explain what happens in a given scenario.
Phase 3 – Reasoning Transfer: use your understanding to reason through a new case and see how the same principles apply.

Please note that you can access feedback on your learning progress at any time by clicking the feedback button — it’s a helpful way to reflect on what you’ve learned and what to focus on next!

Ready to begin?

[■□□□□]  20% – Knowledge activation started! Let’s recall how haemostasis works step by step!","2025-11-12T15:51:49.334302+00:00"
"user","laten we beginnenn","2025-11-12T15:51:53.922163+00:00"
"assistant","Hier is het eerste vignet als startpunt:

Een 60-jarige vrouw presenteert zich met levensbedreigende bloedingen. Ze gebruikt warfarine, een antistollingsmiddel dat werkt op de vitamine K-afhankelijke factoren, wegens een hartaandoening, en had de afgelopen dagen al bloedend tandvlees opgemerkt.  
Laboratoriumuitslagen:  
1. Protrombinetijd (PT): Verlengd  
2. Geactiveerde partiële tromboplastinetijd (aPTT): licht verlengd  
3. Trombocytenaantal: Normaal  
4. Fibrinogeen: Normaal  

Kun je uitleggen hoe deze symptomen en labuitslagen met elkaar verband houden? Wat denk je dat er aan de hand is?","2025-11-12T15:52:05.284952+00:00"
"user","Door het antistollingsmiddel zijn de protrombinetijd en de geactiveerde partiële tromboplastinetijd verlengd. Dit zijn namelijk factoren waardoor bloed gaat stollen, maar de vrouw neemt een antistollingsmiddel dus het duurt langer voordat het bloed gestold is","2025-11-12T15:53:26.858884+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Goed gedaan! Laten we even pauzeren en doorgaan met Fase 1 – Knowledge Activation. In deze fase kijken we kort naar de belangrijkste concepten en mechanismen die te maken hebben met het bovenstaande geval. Heb je nu bepaalde vragen of punten die je graag eerst zou willen verduidelijken?

[■■□□□]  40% – Knowledge activation finished! Keep going - your clinical reasoning is developing!","2025-11-12T15:53:34.547555+00:00"
"user","ga verder","2025-11-12T15:53:39.840619+00:00"
"assistant","Prima! Laten we beginnen met de basis: wanneer je denkt aan hoe het lichaam bloedverlies stopt na een verwonding aan een bloedvat, welke hoofdprocessen komen dan bij je op? 

Kun je uitleggen wat er in de verschillende fases van haemostase gebeurt?","2025-11-12T15:53:46.261272+00:00"
"user","trombocyten die zich hechten aan het vaatendotheel","2025-11-12T15:54:18.588179+00:00"
"assistant","Klopt, het hechten van trombocyten (bloedplaatjes) aan het beschadigde endotheel is een belangrijk onderdeel van de eerste reactie van het lichaam op een bloeding. Kun je deze stap verder toelichten? Wat gebeurt er nadat de trombocyten zich hebben gehecht?

En: welke andere fasen zijn er naast deze primaire hemostase?","2025-11-12T15:54:26.539541+00:00"
