"role","content","created_at"
"user","kunnen we beginnen","2025-10-15T16:07:04.631135+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Hier is de eerste casus:

Een 19-jarige jongen meldt dat hij, terwijl hij op weg was naar zijn eerste universitaire examens, zijn hart voelde bonzen, zijn handpalmen zweterig werden en hij merkte dat zijn ademhaling versnelde. Hij voelde zich ook een beetje misselijk en had een droge mond. Nadat hij in de examenzaal aankwam en ging zitten, haalde hij een paar keer diep adem. Binnen 10 minuten vertraagde zijn hartslag, normaliseerde zijn ademhaling en voelde hij de drang om naar het toilet te gaan.

Kun je uitleggen welke symptomen de student ervaarde? Denk hierbij aan welk deel van het autonome zenuwstelsel verantwoordelijk is voor deze symptomen.","2025-10-15T16:07:18.03391+00:00"
"user","het sympathische zenuwt","2025-10-15T16:08:23.310258+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Goed geprobeerd! Laten we even pauzeren en starten met Fase 1 – Kennisactivatie. In deze fase bespreken we kort de belangrijkste concepten en mechanismen die horen bij deze casus. Heb je nog vragen of dingen die je graag duidelijk wilt hebben voordat we starten?

Als je wilt beginnen: Weet je wat de twee belangrijkste delen zijn van het autonome zenuwstelsel, en wat elk van die delen doet?","2025-10-15T16:08:31.161327+00:00"
"user","het parasympatiche zenuwstelsel (rust) en het sympathische zenuwstelsel (actief)","2025-10-15T16:09:10.586081+00:00"
"assistant","Mooi! Je noemt inderdaad de twee belangrijkste delen: het parasympatische zenuwstelsel en het sympathische zenuwstelsel. Kun je in je eigen woorden uitleggen wat het sympathische en het parasympatische zenuwstelsel precies doen in het lichaam? Wat zijn de belangrijkste functies tijdens rust en tijdens een stressvolle situatie?","2025-10-15T16:09:18.928411+00:00"
"user","het sympatisch zenuwstelsel zorgt ervoor dat het hart sneller gaat kloppen, pupillen vergrote, de bloeddruk omhoog gaat en het parasympatische zenuwstelsel zorgt ervoor dat de hartslag omlaag gaat, bloeddruk daalt","2025-10-15T16:12:37.768719+00:00"
"assistant","Dat klopt! Je weet al goed welke effecten beide systemen hebben. Kun je ook uitleggen hoe deze zenuwstelsels signalen overbrengen op organen? Met andere woorden: via welke stoffen (neurotransmitters) communiceren deze zenuwen met het hart, de longen of andere organen?","2025-10-15T16:12:49.767379+00:00"
"user","via adrenaline","2025-10-15T16:13:08.420805+00:00"
"assistant","Goed begin! Adrenaline speelt inderdaad een rol, vooral bij sterke activatie van het sympathische zenuwstelsel via het bloed (door de bijnier). Heb je ook een idee welke neurotransmitter door de zenuwuiteinden zelf wordt afgegeven bij de sympathische zenuwen, en hoe dat bij het parasympathische systeem werkt? Wat gebeurt er bijvoorbeeld direct in het hart of bij een zweetklier?","2025-10-15T16:13:16.776312+00:00"
"user","acetylcholine","2025-10-15T16:13:26.098863+00:00"
"assistant","Heel goed! Acetylcholine is inderdaad de belangrijkste neurotransmitter van het parasympathische zenuwstelsel, bijvoorbeeld bij het vertragen van de hartslag. Maar wat is nu de belangrijkste neurotransmitter die het sympathische zenuwstelsel rechtstreeks aan het hart, de bloedvaten en andere organen afgeeft? Is dat ook acetylcholine, of is dat een andere stof?","2025-10-15T16:13:34.062046+00:00"
"user","nee dat is ectycholine","2025-10-15T16:14:30.253167+00:00"
