"role","content","created_at"
"user","halloooo","2025-11-12T15:51:31.389003+00:00"
"assistant","Welcome! In this activity, you’ll work with a virtual tutor to explore how haemostasis happens through key physiological principles. You’ll be guided to build your own narrative that explains what happens and why in a clinical situation.

Creating your own story about a case helps you connect ideas, remember them longer, and apply this knowledge in future clinical situations. At the same time, this way of reasoning mirrors how doctors make sense of what happens in their patients—and one day, you’ll use it to work and reason together with your own patients.

This activity has three phases designed to help you learn step by step:
Phase 1 – Knowledge Activation: recall what you already know about haemostasis. The first case serves as a trigger to help you think and reflect — we’ll return to the case once we’ve completed this knowledge activation phase.
Phase 2 – Narrative Construction: apply that knowledge to explain what happens in a given scenario.
Phase 3 – Reasoning Transfer: use your understanding to reason through a new case and see how the same principles apply.

Please note that you can access feedback on your learning progress at any time by clicking the feedback button — it’s a helpful way to reflect on what you’ve learned and what to focus on next!

Ready to begin?","2025-11-12T15:51:47.963615+00:00"
"user","In het Nederlands aub","2025-11-12T15:51:52.753716+00:00"
"assistant","Welkom! In deze activiteit ga je samen met een virtuele tutor onderzoeken hoe hemostase (bloedstelping) volgens belangrijke fysiologische principes verloopt. Je wordt stap voor stap begeleid om jouw eigen uitleg te bouwen over wat er gebeurt en waarom, in een klinische situatie.

Een eigen verhaal vormen over een casus helpt je om ideeën te verbinden, ze langer te onthouden en deze kennis in toekomstige klinische situaties toe te passen. Deze manier van redeneren is ook hoe artsen samen met hun patiënten begrijpen wat er aan de hand is—en op een dag zul jij het zelf ook zo doen.

Deze activiteit bestaat uit drie fasen:
Fase 1 – Kennisactivering: haal naar boven wat je al weet over hemostase. De eerste casus werkt als trigger om hierover na te denken — na deze fase kom je erop terug.
Fase 2 – Narratief bouwen: pas de kennis toe om de casus uit te leggen.
Fase 3 – Kennisoverdracht: gebruik je begrip om een nieuwe casus te analyseren en dezelfde principes toe te passen.

Let op: je kunt altijd feedback op je leerproces krijgen door op de feedbackknop te klikken—een handige manier om na te denken over wat je geleerd hebt en waar je nog op kunt focussen!

Klaar om te beginnen?","2025-11-12T15:52:10.145851+00:00"
"user","Yes","2025-11-12T15:52:12.063409+00:00"
"assistant","Hier is de eerste casus:

Een 60-jarige vrouw presenteert zich met ernstig, levensbedreigend bloedverlies. Ze gebruikt warfarine, een antistollingsmiddel dat werkt op de vitamine K-afhankelijke stollingsfactoren, vanwege een hartprobleem. Ze had de afgelopen dagen ook al bloedend tandvlees opgemerkt.  
Laboratoriumresultaten:
1. Protrombinetijd (PT): Verlengd  
2. Geactiveerde partiële tromboplastinetijd (aPTT): licht verhoogd  
3. Aantal bloedplaatjes: Normaal  
4. Fibrinogeen: Normaal

Kun je uitleggen waardoor de symptomen en lab-uitslagen bij deze patiënt ontstaan?","2025-11-12T15:52:23.111336+00:00"
"user","Ze gebruikt warfarine en dit is een antistollingsmiddel, dus dat zorgt voor minder stolling wat het bloedverlies kan verklaren. het aantal bloedplaatjes en fibrinogeen is normaal omdat dus het medicijn ervoor zorgt dat er minder stolling is, maaar dit wordt niet gecompenseerd door het lichaam. Lab uitslagen vind ik verder moeilijk","2025-11-12T15:54:10.139372+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Mooie poging! Laten we even pauzeren en beginnen met Fase 1 – Kennisactivering. In deze fase gaan we kort de kernbegrippen en mechanismen bespreken die hier een rol spelen. Heb je al vragen of dingen die je graag wilt verduidelijken voordat we starten?

[■□□□□]  20% – Kennisactivering gestart! Laten we stap voor stap terughalen hoe hemostase werkt.","2025-11-12T15:54:18.205432+00:00"
"user","Ik heb geen idee","2025-11-12T15:54:38.837526+00:00"
"assistant","Geen probleem! We gaan samen terug naar de basis. 

Als je denkt aan hoe het lichaam bloedverlies stopt na een beschadiging van een bloedvat—welke hoofdprocessen komen dan bij je op? Dus: hoe zorgt het lichaam er stap voor stap voor dat er geen bloed uit een wond blijft stromen? Kun je proberen de belangrijkste stappen te noemen, of heb je ergens specifieke vragen over?","2025-11-12T15:54:46.133822+00:00"
"user","eerst is er primaire hemostase daarbij gaan de bloedplaatjes naar de plek van de wond toe, vervolgens hechten de bloedplaatjes aan elkaar en fibrine zorgt dan voor een netwerk aan fibrinedraden waardoor het nog steviger wordt.","2025-11-12T15:55:31.520278+00:00"
"assistant","Goed omschreven! Je benoemt inderdaad de rol van bloedplaatjes (primaire hemostase) en daarna de vorming van een netwerk door fibrine.

Kun je uitleggen wat er nodig is om van fibrinogeen naar fibrine te komen, en welke stap hier een rol speelt? Wat weet je over de “stollingscascade” en waarom is die als een keten van reacties georganiseerd?","2025-11-12T15:55:38.576166+00:00"
"user","Hierbij zijn stollingsfactoren nodig. Verder weet ik dat er een intrinsieke en extrinsieke route zijn","2025-11-12T15:56:06.065261+00:00"
"assistant","Klopt! De stollingsfactoren spelen een essentiële rol en worden inderdaad geactiveerd via twee verschillende routes: de intrinsieke en de extrinsieke route.

Kun je verder uitleggen wat het verschil is tussen de intrinsieke en extrinsieke route? En weet je hoe deze routes uiteindelijk samenkomen, oftewel wat is hun gemeenschappelijke eindpunt binnen de stollingscascade?","2025-11-12T15:56:14.974727+00:00"
"user","De extrinsieke route is lang en de intrinsieke route is kort? Hun gemeenschappelijke eindpunt is fibrine","2025-11-12T15:56:32.972948+00:00"
"assistant","Je hebt gelijk dat beide routes uiteindelijk leiden tot de vorming van fibrine, maar qua lengte klopt het andersom. Zou je nog eens willen nadenken over hoe de intrinsieke en extrinsieke route elk worden geactiveerd? Wat triggert elk van deze routes? 

En hoe verloopt het proces van beide routes naar het echte 'knooppunt' binnen de cascade? Kun je dat mechanisme beschrijven—dus welke factor wordt geactiveerd en zorgt voor het doorschakelen naar de vorming van fibrine?","2025-11-12T15:56:43.403912+00:00"
"user","weet ik niet","2025-11-12T15:56:50.170029+00:00"
"assistant","Geen zorgen, dit is best lastig. Laten we het kort samenvatten:

De extrinsieke route wordt geactiveerd als weefselfactor (tissue factor) uit beschadigd weefsel vrijkomt en bindt aan factor VII. Dit is een snelle route die vooral buiten de bloedvaten gestart wordt door weefselschade.

De intrinsieke route wordt geactiveerd als bloed in contact komt met negatieve oppervlakken (zoals beschadigd endotheel). Hierbij worden achtereenvolgens de factoren XII, XI, IX en VIII geactiveerd—een meer bloedvat-interne route.

Beide routes komen samen bij de activatie van factor X: dit is het centrale knooppunt (“common pathway”). Geactiveerd factor X zet prothrombine (factor II) om in trombine, en trombine zet uiteindelijk fibrinogeen om in fibrine.

Zullen we nu doorgaan naar de volgende fase, waarin je deze kennis op de casus toepast? Of heb je nog vragen over wat we net bespraken?

[■■□□□]  40% – Kennisactivering afgerond! Goed bezig – je klinisch redeneren groeit!","2025-11-12T15:57:07.478155+00:00"
"user","Graag","2025-11-12T15:57:44.041172+00:00"
"assistant","=== PHASE 2: Narrative Construction ===

Hier is de casus nog een keer:

Een 60-jarige vrouw presenteert zich met ernstig, levensbedreigend bloedverlies. Ze gebruikt warfarine, een antistollingsmiddel dat werkt op de vitamine K-afhankelijke stollingsfactoren, vanwege een hartprobleem. Ze had de afgelopen dagen ook al bloedend tandvlees opgemerkt.  
Laboratoriumresultaten:
1. Protrombinetijd (PT): Verlengd  
2. Geactiveerde partiële tromboplastinetijd (aPTT): licht verhoogd  
3. Aantal bloedplaatjes: Normaal  
4. Fibrinogeen: Normaal

Kun je nu met de kennis die je zojuist hebt opgehaald uitleggen waardoor de klachten en laboratoriumuitslagen van deze patiënt te verklaren zijn?

[■■□□□]  40% – Kennisactivering afgerond! Goed bezig – je klinisch redeneren groeit!","2025-11-12T15:57:57.58984+00:00"
"user","Ze heeft een antistollingsmiddel dat werkt op de vitamine-K-afhankelijke stollingsfactoren en dit zijn II, VII, X, IX. Daardoor is de aPTT licht verhoogd omdat hier dus wat aan de hand is. Bloedverlies komt omdat het bloed dus niet kan stollen vanwege het antistollingsmiddel. Bloedend tandvlees hoort daar ook bij","2025-11-12T16:00:58.073978+00:00"
"assistant","Dat is al een goede beschrijving! Je benoemt de vitamine K-afhankelijke stollingsfactoren juist, en koppelt het bloedverlies aan verminderde stolling door het medicijn.

Laten we dieper kijken naar de labuitslagen:  
- De protrombinetijd (PT) is vooral verlengd. Weet je waarom juist deze test zo gevoelig is voor warfarinegebruik? En welk van de vitamine K-afhankelijke factoren (II, VII, IX, X) verklaart dat?  
- De aPTT is slechts licht verhoogd. Hoe verklaar je dat verschil ten opzichte van de PT?

Kun je deze redenering verder uitwerken?","2025-11-12T16:01:09.553607+00:00"
"user","VII is van de PT route en als dit dus wordt beïnvloedt door warfarine dan is deze route niet meer goed en dus verlengd. De aPTT bevat veel meer stollingsfactoren en als daar 1 factor beïnvloedt wordt heeft dat een minder groot effect op de lengte dan bij de PT omdat daar maar 1 factor een rol speelt","2025-11-12T16:02:01.5476+00:00"
