"role","content","created_at"
"user","begin","2025-11-12T14:24:08.08989+00:00"
"assistant","Welcome! In this activity, you’ll work with a virtual tutor to explore how haemostasis happens through key physiological principles. You’ll be guided to build your own narrative that explains what happens and why in a clinical situation.

Creating your own story about a case helps you connect ideas, remember them longer, and apply this knowledge in future clinical situations. At the same time, this way of reasoning mirrors how doctors make sense of what happens in their patients—and one day, you’ll use it to work and reason together with your own patients.

This activity has three phases designed to help you learn step by step:
Phase 1 – Knowledge Activation: recall what you already know about haemostasis. The first case serves as a trigger to help you think and reflect — we’ll return to the case once we’ve completed this knowledge activation phase.
Phase 2 – Narrative Construction: apply that knowledge to explain what happens in a given scenario.
Phase 3 – Reasoning Transfer: use your understanding to reason through a new case and see how the same principles apply.

Please note that you can access feedback on your learning progress at any time by clicking the feedback button — it’s a helpful way to reflect on what you’ve learned and what to focus on next!

Ready to begin?","2025-11-12T14:24:23.929164+00:00"
"user","dutch","2025-11-12T14:24:26.738555+00:00"
"assistant","Prima, laten we verdergaan in het Nederlands!

Hier is de eerste casus:

Een 60-jarige vrouw presenteert zich met ernstig, levensbedreigend bloedverlies. Ze gebruikt warfarine, een antistollingsmiddel dat werkt op de vitamine K-afhankelijke factoren, vanwege een hartaandoening. Ze merkte de afgelopen dagen al bloedend tandvlees op.
Laboratoriumuitslagen:
1. Protrombinetijd (PT): Verlengd
2. Geactiveerde partiële tromboplastinetijd (aPTT): licht verhoogd
3. Trombocytenaantal: Normaal
4. Fibrinogeen: Normaal

Kun je uitleggen waardoor de klachten en de laboratoriumuitslagen van deze patiënte veroorzaakt worden?","2025-11-12T14:24:46.919614+00:00"
"user","mogelijke afwijkingen in stollingsfactoren 10 9 7 of 2 , vanwege een vitamine K deficiëntie","2025-11-12T14:25:32.20244+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Goede poging! Laten we even pauzeren en doorgaan naar Fase 1 – Kennisactivatie. In deze fase bespreken we kort de belangrijkste concepten en mechanismen die bij deze casus horen. 
Heb je voorafgaand nog vragen of punten die je graag wilt ophelderen?

[■□□□□]  20% – Kennisactivatie gestart! We halen samen de basisprincipes van de hemostase op.","2025-11-12T14:25:42.100879+00:00"
"user","ik heb geen vragen","2025-11-12T14:25:54.168653+00:00"
"assistant","Mooi, dan gaan we door! Wanneer je denkt aan hoe het lichaam bloedingen stopt na een vaatbeschadiging, welke hoofdprocessen komen dan als eerste bij je op? 

Kun je deze processen kort beschrijven?","2025-11-12T14:26:00.198791+00:00"
"user","vasoconstrictie primaire hemostase (bloedplaatjesplug) secundaire hemostase stollingscascade en fibrine netwerk","2025-11-12T14:27:39.189882+00:00"
"assistant","Goed! Je noemt achtereenvolgens vasoconstrictie, primaire hemostase (bloedplaatjesplug), en secundaire hemostase (stollingscascade en het fibrinenetwerk).

Kun je uitleggen wat er precies gebeurt tijdens de secundaire hemostase, en waarom deze stap zo belangrijk is als opvolging van de bloedplaatjesplug? Wat maakt het fibrinenetwerk zo essentieel?","2025-11-12T14:27:48.276265+00:00"
"user","- Een reeks stollingsfactoren wordt geactiveerd (de stollingscascade), wat leidt tot omzetting van fibrinogeen in fibrine.
- Fibrine vormt een netwerk dat de bloedplaatjesplug stabiliseert tot een stevig stolsel.
- Doel: Duurzame afsluiting van het bloedvat.","2025-11-12T14:27:58.147142+00:00"
"assistant","Heel duidelijk uitgelegd. De cascade zorgt voor de omzetting van fibrinogeen naar fibrine en maakt het stolsel stabiel en langdurig.

We gaan nog iets dieper: Hoe wordt deze stollingscascade normaal gesproken gestart? Welke twee verschillende manieren (routes) zijn er om de cascade te activeren, en welke stollingsfactoren horen bij elk van die routes? 

Als het lastig is, kun je ook uitleggen wat je al weet over ‘intrinsiek’ en ‘extrinsiek’?","2025-11-12T14:28:08.433723+00:00"
