"role","content","created_at"
"user","hoihoi","2025-11-12T15:52:43.445749+00:00"
"assistant","Welcome! In this activity, you’ll work with a virtual tutor to explore how haemostasis happens through key physiological principles. You’ll be guided to build your own narrative that explains what happens and why in a clinical situation.

Creating your own story about a case helps you connect ideas, remember them longer, and apply this knowledge in future clinical situations. At the same time, this way of reasoning mirrors how doctors make sense of what happens in their patients—and one day, you’ll use it to work and reason together with your own patients.

This activity has three phases designed to help you learn step by step:
Phase 1 – Knowledge Activation: recall what you already know about haemostasis. The first case serves as a trigger to help you think and reflect — we’ll return to the case once we’ve completed this knowledge activation phase.
Phase 2 – Narrative Construction: apply that knowledge to explain what happens in a given scenario.
Phase 3 – Reasoning Transfer: use your understanding to reason through a new case and see how the same principles apply.

Please note that you can access feedback on your learning progress at any time by clicking the feedback button — it’s a helpful way to reflect on what you’ve learned and what to focus on next!

Ready to begin?","2025-11-12T15:52:59.924811+00:00"
"user","ik ben klaar","2025-11-12T15:53:40.06033+00:00"
"assistant","Here’s your first clinical scenario to get us started:

A 60-year-old woman presents with major, life-threatening bleeding. She takes warfarin, an anticoagulant that acts on the vitamin K-dependent factors, for a heart problem, and had already noticed gum bleeding in the previous days.  
Laboratory results:  
1. Prothrombin Time (PT): Prolonged  
2. Activated Partial Thromboplastin Time (aPTT): slightly increased  
3. Platelet count: Normal  
4. Fibrinogen: Normal

Can you explain the patient’s symptoms and laboratory results?","2025-11-12T15:53:49.507695+00:00"
"user","anticoagulanten afhankelijk van vitamine K factoren hebben geen effect op de PT en aPTT omdat dat die pas plaatsvinden NA de vorming van fibrine","2025-11-12T15:55:05.81299+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Great try! Let’s take a short pause and start Phase 1 – Knowledge Activation. In this phase, we’ll briefly go over the key concepts and mechanisms that relate to the case. Do you have any questions or points you’d like to clarify before we start?
[■□□□□]  20% – Knowledge activation started! Let’s recall how haemostasis works step by step!","2025-11-12T15:55:15.759897+00:00"
"user","haemostasis is een process van bloedsotlling
het begint met het samentrekken van de bloedvaten
dan primaire haemostasis, dan secundaire, en tenslotte clotlysis/stabilisatie","2025-11-12T15:55:56.533898+00:00"
"assistant","Mooi samengevat! Je noemt achtereenvolgens vaatvernauwing, primaire haemostase, secundaire haemostase en tenslotte de afbraak van het stolsel (fibrinolyse).

Laten we samen iets dieper inzoomen op secundaire haemostase:  
Wat gebeurt er precies tijdens de stollingscascade? Kun je uitleggen waarom dit een kettingreactie is van opeenvolgende stappen, en waarom dat belangrijk is voor het vormen van een goed stolsel?","2025-11-12T15:56:05.25731+00:00"
"user","het begint met exposed tissue factor
hierna word een factor geactiveert, daardoor ontstaat thrombi, dit leid tot de start van de amplificatie fase waardoor meer en meer thrombonin ontstaan. DIt leid ook tot meer omzetting van fibrogeen naar fibrine. Fibrine is vitaal voor goede stolsel want hierdoor blijven de bloedplaatsjes permanent bij elkaar","2025-11-12T15:58:01.23844+00:00"
"assistant","Goed uitgelegd! Je benoemt dat tissue factor aan het begin staat, daarna een activatie van factoren, er thrombine wordt gevormd, en dat dit tot meer omzetting van fibrinogeen naar fibrine leidt, wat het stolsel verstevigt. Je noemt ook de amplificatiefase waarin er steeds meer thrombine ontstaat.

Een vervolgvraag: Hoe kunnen deze reacties in gang gezet worden via verschillende “routes”? Met andere woorden: wat bedoelen we met het “intrinsieke” en het “extrinsieke” pad in de stollingscascade—en welke rol speelt ieder pad?","2025-11-12T15:58:13.966947+00:00"
"user","intrisiek is net as de initiatie fase, extrensiek is de eamplificatie fase","2025-11-12T15:58:37.637376+00:00"
"assistant","Interessant hoe je dit koppelt! De initiatie begint inderdaad vaak met het extrinsieke pad via tissue factor-blootstelling, waarna het intrinsieke pad (de amplificatiefase) steeds meer stollingsfactoren activeert.

Maar zou je kunnen uitleggen wat het verschil is tussen het intrinsieke en het extrinsieke pad qua welke factoren erbij betrokken zijn en waardoor ze geactiveerd worden? Kun je daarvan een voorbeeld noemen?","2025-11-12T15:58:46.917748+00:00"
"user","intrinsiek gebruikt minder factoren (PT word hier gemeten), extrensiek gebruikt er veel (aPPT word hiermee gemeten)","2025-11-12T15:59:32.030103+00:00"
"assistant","Je haalt twee belangrijke begrippen aan: welke factoren erbij betrokken zijn én welke labtesten ze meten. Laten we ze één-voor-één doornemen:

1. Weet je welke stollingsfactoren vooral betrokken zijn bij het intrinsieke pad, en door welk ‘signaal’ dit pad wordt geactiveerd?  
2. Kun je uitleggen welke factor(en) betrokken zijn bij het extrinsieke pad, en wat daar het startpunt is?

En nog even ter controle: weet je zeker dat PT en aPTT op die manier bij de paden horen? Of zou het misschien omgedraaid kunnen zijn?","2025-11-12T15:59:43.538926+00:00"
"user","1. intrinsieke stollingsfactoren weet ik niet, maar word geactiveerd door tissue factor
2. extrensieke stollingsfactoren weet ik ook niet, maar word geactiveerd door thrombonine","2025-11-12T16:00:20.845975+00:00"
"assistant","Mooi dat je het durft toe te geven als je iets niet zeker weet! Dat is precies hoe leren werkt.

Zullen we het stap voor stap samen bekijken?  
De extrinsieke route wordt juist geactiveerd door tissue factor, en de intrinsieke route door een contactreactie met negatief geladen oppervlakken (zoals beschading van het bloedvat).

- Het extrinsieke pad start dus met tissue factor en activeert vooral factor VII.
- Het intrinsieke pad start met factor XII, dat geactiveerd wordt bij contact met bijvoorbeeld beschadigde vaatwand. Daarna volgen factor XI, IX, en VIII.

Nu een vervolgvraag om je denklijn compleet te maken:  
Welke labtest—PT of aPTT—is vooral gevoelig voor het extrinsieke pad, en welke voor het intrinsieke pad? Wat denk je, en waarom?","2025-11-12T16:00:36.202579+00:00"
"user","extrinsiek is pt, intrinsiek is appt","2025-11-12T16:01:11.047059+00:00"
"assistant","Goed! Dat klopt:  
- De PT (“prothrombin time”) test is gevoelig voor problemen in het extrinsieke pad (vooral factor VII en alles daaronder in het gemeenschappelijke pad).
- De aPTT (“activated partial thromboplastin time”) test is vooral gevoelig voor problemen in het intrinsieke pad (factor XII, XI, IX, VIII, plus het gemeenschappelijke pad).

Laatste kennisvraag voordat we doorgaan:  
Stel dat één van deze stollingsfactoren niet werkt of ontbreekt—wat verwacht je dan te zien in die testen, en wat zijn mogelijke gevolgen voor de stolling?","2025-11-12T16:01:22.052521+00:00"
"user","als een stollignsfactor niet werkt of ontbreekt zou dat de tijd erg verlengen","2025-11-12T16:01:51.496385+00:00"
"assistant","Precies, juist! Wanneer een van de stollingsfactoren in een pad ontbreekt of niet functioneert, wordt de ketting van reacties onderbroken. Daardoor duurt het langer voordat er een stolsel gevormd wordt—dus zie je een verlengde PT of aPTT, afhankelijk van welk pad is aangedaan.

Als gevolg daarvan zal de bloedstolling vertraagd zijn en kan de patiënt dus sneller bloeden, zelfs bij kleine verwondingen.

Ben je zo tevreden over deze basiskennis, of heb je hier nog een vraag over? Als je wilt, kunnen we nu verdergaan!

[■■□□□]  40% – Knowledge activation finished! Keep going - your clinical reasoning is developing!","2025-11-12T16:02:02.017304+00:00"
"user","ik snap vitamine k dingen niet, maar komt da tlater?","2025-11-12T16:02:16.491978+00:00"
"assistant","Goed dat je aangeeft wat je lastig vindt! Het vitamine K-verhaal is inderdaad belangrijk, vooral in relatie tot het eerste klinische geval. Straks gaan we in de volgende fase precies uitleggen hoe vitamine K betrokken is bij de stolling en waarom dat effect heeft op de PT/aPTT. 

Zullen we nu doorgaan naar de volgende fase? Dan kun je je kennis direct toepassen op het eerste casus en worden de vitamine K-aspecten duidelijk uitgelegd.

=== PHASE 2: Narrative Construction ===

A 60-year-old woman presents with major, life-threatening bleeding. She takes warfarin, an anticoagulant that acts on the vitamin K-dependent factors, for a heart problem, and had already noticed gum bleeding in the previous days.  
Laboratory results:  
1. Prothrombin Time (PT): Prolonged  
2. Activated Partial Thromboplastin Time (aPTT): slightly increased  
3. Platelet count: Normal  
4. Fibrinogen: Normal

Great! Now we’re entering Phase 2 – Narrative Construction. Now can you explain the patient’s symptoms and laboratory results with the knowledge you just reviewed?","2025-11-12T16:02:34.633011+00:00"
"user","de verlenging vna PT wijst op dat er bepaalde sotllingsfactor van de extrensieke gedeelte mist/minder is
aangezien appt minder verlengd is, maar alsnog wel verlengd, is het dus een stollingsfactor die ze overeen hebben, zoals stollingsfactor 10","2025-11-12T16:04:09.503905+00:00"
