"role","content","created_at"
"user","Hallo! Laten we beginnen.","2025-09-29T17:17:05.420171+00:00"
"assistant","Prima, laten we aan de slag gaan! Hier is de klinische context waarmee we werken:

### VIGNETTE 1 ###
Het lichaam slaat glucose op in de vorm van glycogeen, vooral in de lever en spieren, om te gebruiken wanneer energie nodig is—denk dan vooral aan periodes tussen maaltijden of tijdens inspanning.  
Bij Glycogeenstapelingsziekten (GSD’s) is dit proces verstoord door een aangeboren enzymdeficiëntie. Het lichaam heeft daardoor moeite om de normale bloedglucosespiegel te handhaven, vooral tijdens vasten. Om te compenseren, worden andere metabole routes geactiveerd. Echter, bij GSD’s zijn alternatieve processen, zoals de Cori-cyclus, vaak niet voldoende.
Een 3-jarig meisje met GSD komt bij de dokter omdat ze erg prikkelbaar is en haar buik opgezet lijkt. Haar lever is vergroot en in het bloedonderzoek wordt gevonden:
- Bloedglucose: 45 mg/dL (normaal: 70–110 mg/dL)
- Bloedketonen: Negatief (normaal: negatief)
- Lactaat: 4,2 mmol/L (normaal: 0,5–2,0 mmol/L)

**Kun jij uitleggen wat hier aan de hand is?**","2025-09-29T17:17:24.514414+00:00"
"user","Het meisje zet glucose niet om tot glycogeen, maar lactaat. Hierdoor vindt er negatieve terugkoppeling plaats, het meisje kan de glucose (die normaal in glycogeen wordt opgeslagen) dan dus niet meer eruit krijgen, met als gevolg een lagere bloedglucose dan normaal. Daarnaast wordt er dus meer lactaat gevormd, wat dus een hogere waarde lactaat geeft.","2025-09-29T17:20:04.969561+00:00"
"assistant","Goede poging! Voordat we verder gaan, laten we even een stapje terug doen en samen de onderliggende kennis doornemen. Dat helpt om straks het hele plaatje goed te kunnen overzien. Heb je op dit moment bepaalde vragen of onduidelijkheden over energiehuishouding of de stofwisseling van glucose?

Anders begin ik graag met een korte kennischeck:  
Wat weet je van glycolyse? Kun je kort zeggen wat het is en wat het doel is?","2025-09-29T17:20:17.942804+00:00"
"user","glycolyse is het omzetten van glucose tot glycogeen met als doel de glucose kunnen opslaan, voor wanneer er energie nodig is.","2025-09-29T17:21:12.877364+00:00"
"assistant","Ik zie waar je naartoe wilt, maar glycolyse is niet hetzelfde als het opslaan van glucose als glycogeen. Glycolyse is juist het proces waarbij glucose wordt omgezet naar pyruvaat om daaruit energie (ATP) vrij te maken. Het opslaan van glucose als glycogeen heet glycogenese.

Kun je uitleggen wat er tijdens de glycolyse met glucose gebeurt, waar het plaatsvindt in de cel, en wat er met de energie-inhoud van glucose gebeurt?","2025-09-29T17:21:23.847377+00:00"
"user","De netto reactie bij de glycose : glucose + 2 ATP --> 2 pryuvaat + 4 ATP + 2 NADH. 
Het vindt plaats in het cytoplasma. 
De energie-inhoud kan daarna worden gebruikt in de citroenzuurcyclus en de oxidatieve fosforylering.","2025-09-29T17:26:13.662166+00:00"
"assistant","Goed, je komt al aardig in de buurt! Nog een kleine verduidelijking: glycolyse gebruikt in totaal 2 ATP, maar er komen er 4 uit, dus netto levert het 2 ATP op. Je noemde ook terecht het NADH, dat is belangrijk voor de volgende stappen in de energieproductie.

We gaan daarmee even verder:  
Weet je hoe het verder gaat nadat er pyruvaat is gevormd? Kun je aangeven wat er met pyruvaat gebeurt als er wél en als er géén zuurstof beschikbaar is?","2025-09-29T17:26:59.977985+00:00"
"user","Als er wel zuurstof aanwezig is (aeroob) zal het pryuvaat naar de mitochondriën gaan voor de citroenzuurcyclus en de oxidatieve fosforylering.
Als er geen zuurstof aanwezig is (anaeroob) zal het pryuvaat omgezet worden tot lactaat (in de spieren) of ethanol (bij gisten).","2025-09-29T17:29:21.310108+00:00"
"assistant","Precies! Dat is helemaal correct voor wat er bij mensen gebeurt: zonder zuurstof wordt pyruvaat omgezet in lactaat (in bijvoorbeeld de spieren), en bij voldoende zuurstof wordt het verder verwerkt in de mitochondriën via de citroenzuurcyclus en oxidatieve fosforylering voor maximale ATP-productie.

Laten we het kort hebben over glycogeenafbraak (glycogenolyse), want dat is relevant voor deze vignette:  
Kun je uitleggen wat glycogenolyse is, waar het gebeurt, en welk doel het dient in het lichaam?","2025-09-29T17:29:31.14999+00:00"
