"role","content"
"user","Ik ben klaar om te beginnen"
"assistant","Mooi! Hier is de eerste casus om mee te starten:

###VIGNETTE 1###
Het lichaam slaat glucose op in de vorm van glycogeen, vooral in de lever en spieren, om te gebruiken als er energie nodig is—vooral tussen maaltijden door of tijdens inspanning.  
Bij Glycogeen Stofwisselingsziekten (GSD’s) is dit proces verstoord door een erfelijk enzymdefect. Daardoor heeft het lichaam moeite om de normale bloedsuikerspiegels te handhaven, vooral tijdens vasten. Om te compenseren worden andere metabole routes geactiveerd. Bij GSD’s zijn alternatieve routes, zoals de Cori-cyclus, vaak actiever, met bijwerkingen tot gevolg.  
Een meisje van 3 jaar met GSD komt bij de arts omdat ze erg prikkelbaar is en een opgezwollen buik heeft. Haar lever is vergroot en bloedonderzoek laat het volgende zien:  
- Bloedsuiker: 45 mg/dL (normaal: 70–110 mg/dL)  
- Bloedketonen: Negatief (normaal negatief)
- Lactaat: 4,2 mmol/L (normaal: 0,5–2,0 mmol/L)

Kun jij uitleggen wat er in deze casus gebeurt?"
"user","Ik ben klaar om te beginnen"
"assistant","Helemaal goed! Hier volgt nogmaals de casus:

Het lichaam slaat glucose op in de vorm van glycogeen, vooral in de lever en spieren, om te gebruiken als er energie nodig is—vooral tussen maaltijden door of tijdens inspanning.  
Bij Glycogeen Stofwisselingsziekten (GSD’s) is dit proces verstoord door een erfelijk enzymdefect. Daardoor heeft het lichaam moeite om de normale bloedsuikerspiegels te handhaven, vooral tijdens vasten. Om te compenseren worden andere metabole routes geactiveerd. Bij GSD’s zijn alternatieve routes, zoals de Cori-cyclus, vaak actiever, met bijwerkingen tot gevolg.  
Een meisje van 3 jaar met GSD komt bij de arts omdat ze erg prikkelbaar is en een opgezwollen buik heeft. Haar lever is vergroot en bloedonderzoek laat het volgende zien:  
- Bloedsuiker: 45 mg/dL (normaal: 70–110 mg/dL)  
- Bloedketonen: Negatief (normaal negatief)
- Lactaat: 4,2 mmol/L (normaal: 0,5–2,0 mmol/L)

Kun jij uitleggen wat er in deze casus gebeurt?"
"user","Ik ben klaar om te beginnen"
"assistant","Prima, we gaan van start! Hier volgt de casus nogmaals:

Het lichaam slaat glucose op in de vorm van glycogeen, vooral in de lever en spieren, om te gebruiken als er energie nodig is—vooral tussen maaltijden door of tijdens inspanning.  
Bij Glycogeen Stofwisselingsziekten (GSD’s) is dit proces verstoord door een erfelijk enzymdefect. Daardoor heeft het lichaam moeite om de normale bloedsuikerspiegels te handhaven, vooral tijdens vasten. Om te compenseren worden andere metabole routes geactiveerd. Bij GSD’s zijn alternatieve routes, zoals de Cori-cyclus, vaak actiever, met bijwerkingen tot gevolg.  
Een meisje van 3 jaar met GSD komt bij de arts omdat ze erg prikkelbaar is en een opgezwollen buik heeft. Haar lever is vergroot en bloedonderzoek laat het volgende zien:  
- Bloedsuiker: 45 mg/dL (normaal: 70–110 mg/dL)  
- Bloedketonen: Negatief (normaal negatief)
- Lactaat: 4,2 mmol/L (normaal: 0,5–2,0 mmol/L)

Kun jij uitleggen wat er in deze casus gebeurt?"
"user","Ze heeft een te lage bloedsuikerspiegel en een te hoge lactaatspiegel omdat de glycogeen die opgeslagen is in haar lever niet omgezet kan worden in glucose"
"assistant","Goede poging! Voordat we verder gaan, laten we even een stap terug doen en samen wat basiskennis ophalen. Dat helpt om straks nog beter te snappen wat er aan de hand is in deze casus. Heb je op dit moment ergens vragen of onduidelijkheden over?

Om te beginnen: wat weet je van glycolyse? Of wil je liever herhalen hoe glycogeenafbraak (glycogenolyse) normaal gesproken verloopt? Je mag het zelf kiezen of eventueel zelf een vraag stellen!"
"user","Ja"
"assistant","Prima! Waar zou je graag mee willen beginnen: een korte herhaling van glycolyse, van glycogenolyse, of heb je een andere vraag over dit onderwerp?

Laat vooral weten waar je behoefte aan hebt, of vertel wat je al weet over bijvoorbeeld glycolyse. Zo bouwen we samen je kennis op!"
"user","begin maar met de glycolyse"
"assistant","Goed idee! Even kort en overzichtelijk:

Glycolyse is het proces waarbij één molecuul glucose wordt afgebroken tot twee moleculen pyruvaat, met als opbrengst een kleine hoeveelheid ATP en NADH. Dit proces vindt plaats in het cytoplasma van de cel.

Weet je welke hoofdproducten er vrijkomen (denk aan ATP, NADH, pyruvaat)? En wat heb je nodig als ""input"" voor de glycolyse? Wil je dat eens proberen op te sommen?"
"user","er ontstaan 2 pyruvaat moleculen, ATP en nog iets"
"assistant","Heel goed! Je noemt al pyruvaat en ATP. Er ontstaat inderdaad ook ""nog iets"". Heb je misschien een idee welke energie-dragende molecule (behalve ATP) ontstaat bij glycolyse? 

En weet je hoeveel ATP glycolyse netto oplevert per glucosemolecuul?"
"user","CO2?"
"assistant","Goede poging! Maar bij glycolyse zelf ontstaat er géén CO₂. Heb je enig idee in welke fase van de energiehuishouding wél CO₂ gevormd wordt?

En als je nog eens nadenkt: naast ATP ontstaat er bij glycolyse nog een gereduceerd co-enzym dat belangrijk is voor de volgende stappen in de stofwisseling. Weet je welke dat is? Misschien herken je het aan de afkorting NADH?"
"user","melkzuur?"
