"role","content","created_at"
"user","hoi","2025-09-29T17:19:00.825679+00:00"
"assistant","###VIGNETTE 1###
Het lichaam slaat glucose op in de vorm van glycogeen, vooral in de lever en spieren, zodat het kan worden gebruikt als energiebron wanneer dat nodig is—met name tussen de maaltijden of tijdens inspanning. 
Bij Glycogeenstapelingsziekten (GSD’s) is dit proces verstoord door erfelijke enzymdeficiënties. Hierdoor is het lichaam minder goed in staat om normale bloedglucosewaarden te behouden, vooral tijdens vasten. Om dit te compenseren, worden andere metabole routes geactiveerd. In GSD zijn deze alternatieve paden, zoals de Cori-cyclus, overbelast.
Een 3-jarig meisje met GSD bezoekt de arts omdat ze erg prikkelbaar is en haar buik opgezwollen lijkt. Haar lever is vergroot en bloedonderzoek toont:
Bloedglucose: 45 mg/dL (normaal: 70–110 mg/dL)
Bloedketonen: Negatief (normaal: negatief)
Lactaat: 4,2 mmol/L (normaal: 0,5–2,0 mmol/L)

Kun je uitleggen wat er in dit geval gebeurd is?","2025-09-29T17:19:17.679062+00:00"
"user","hallo","2025-09-29T17:19:21.383237+00:00"
"assistant","Prima dat je reageert! Denk je dat je een idee hebt wat er bij dit meisje gebeurt, of wil je eerst wat basiskennis herhalen over energie-metabolisme? 

Laat het gerust weten als je vragen hebt of ergens uitleg bij wilt. We kunnen bijvoorbeeld even kort bespreken wat glycolyse is, of wat je weet over glycogeen en de manier waarop het lichaam energie haalt uit glucose. Waar wil je mee starten?","2025-09-29T17:19:35.946136+00:00"
"user","je hebt mij nog niks over een meisje verteld, misschieni s het handig om bij het  begin te beginnen","2025-09-29T17:19:55.265273+00:00"
"assistant","Goed punt! Ik zal het vignet nogmaals compleet geven om je goed te laten starten:

###VIGNETTE 1###
Het lichaam slaat glucose op in de vorm van glycogeen, vooral in de lever en spieren, zodat het kan worden gebruikt als energiebron wanneer dat nodig is—met name tussen de maaltijden of tijdens inspanning. 
Bij Glycogeenstapelingsziekten (GSD’s) is dit proces verstoord door erfelijke enzymdeficiënties. Hierdoor is het lichaam minder goed in staat om normale bloedglucosewaarden te behouden, vooral tijdens vasten. Om dit te compenseren, worden andere metabole routes geactiveerd. In GSD zijn deze alternatieve paden, zoals de Cori-cyclus, overbelast.
Een 3-jarig meisje met GSD bezoekt de arts omdat ze erg prikkelbaar is en haar buik opgezwollen lijkt. Haar lever is vergroot en bloedonderzoek toont:
- Bloedglucose: 45 mg/dL (normaal: 70–110 mg/dL)
- Bloedketonen: Negatief (normaal: negatief)
- Lactaat: 4,2 mmol/L (normaal: 0,5–2,0 mmol/L)

Kun je uitleggen wat er in dit geval gebeurd is?","2025-09-29T17:20:21.70372+00:00"
"user","ze heeft dus hypoglykemie, want haar bloedglucose is te laag, en haar lactaat is ook te laag wat dus inhoud dat ze metabolische alkalose heeft","2025-09-29T17:21:23.751474+00:00"
"assistant","Goed dat je opmerkt dat de bloedglucose te laag (hypoglykemie) is! Ook zie je dat het lactaat verhoogd is, maar een hoog lactaat past eerder bij een metabole acidose dan bij een alkalose. Wil je hier nog even over nadenken: wat zegt een verhoogd lactaat meestal over het zuur-base-evenwicht?

Laten we nu even een stapje terugnemen en wat basiskennis ophalen:  
- Wat weet je over het proces van glycogenolyse?  
- En kun je kort uitleggen wat glycolyse is en waar dit plaatsvindt in de cel?

Of is er een ander onderdeel van het energie-metabolisme waar je als eerste naar wilt kijken?","2025-09-29T17:21:39.858486+00:00"
"user","hoi","2025-09-29T17:26:04.889609+00:00"
"assistant","###VIGNETTE 1###
Het lichaam slaat glucose op in de vorm van glycogeen, vooral in de lever en spieren, om dit te gebruiken als er energie nodig is—met name tussen maaltijden of tijdens inspanning. 
Bij glycogeenstapelingsziekten (GSD’s) is dit proces verstoord door een erfelijke enzymdeficiëntie. Hierdoor heeft het lichaam moeite om normale bloedglucosewaarden te behouden, vooral tijdens vasten. Als compensatie worden andere metabole routes geactiveerd. Echter, bij GSD zijn alternatieve paden, zoals de Cori-cyclus, 
Een 3-jarig meisje met GSD komt bij de arts omdat ze erg prikkelbaar is en haar buik opgezet lijkt. Haar lever is vergroot en bloedonderzoek laat zien:
Bloedglucose: 45 mg/dL (normaal: 70–110 mg/dL)  
Bloedketonen: Negatief (normaal: negatief)  
Lactaat: 4,2 mmol/L (normaal: 0,5–2,0 mmol/L)  

Kun jij uitleggen wat er in deze casus is gebeurd?","2025-09-29T17:26:21.702113+00:00"
