"role","content","created_at"
"user","Laten we beginnen","2025-10-15T16:02:07.039037+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Hier volgt de eerste casus (###VIGNETTE 1###):

Een 19-jarige jongen vertelt dat hij, terwijl hij naar zijn eerste universiteitsexamens ging, zijn hart voelde bonzen, zijn handpalmen begonnen te zweten en hij merkte dat zijn ademhaling versnelde. Hij voelde zich ook een beetje misselijk en had een droge mond. Toen hij aankwam in de examenzaal en ging zitten, haalde hij een paar keer diep adem. Binnen 10 minuten vertraagde zijn hartslag, werd zijn ademhaling normaal en kreeg hij aandrang om naar het toilet te gaan.

Kun jij uitleggen welke symptomen deze student ervaart? Denk na over welk deel van het autonome zenuwstelsel verantwoordelijk is voor deze symptomen.","2025-10-15T16:02:18.616902+00:00"
"user","Het sympatische zenuwstelsel van deze student is bezig, omdat hij stress heeft. Hierdoor krijgt hij allemaal dingen die bij stress horen, zoals een droge mond, hoge hartslag en bijvoorbeeld een versnelde ademhaling. Deze symptomen komen dus doordat hij stress ervaart door het examen en hierdoor het sympatische zenuwstelsel dus geactiveerd wordt.","2025-10-15T16:06:10.227441+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Goed gedaan! Je koppelt de symptomen netjes aan het sympathische zenuwstelsel en stress. Laten we even pauzeren voor het volgende gedeelte: 

Great try! Laten we een kort moment nemen voor Fase 1 – Knowledge Activation. In deze fase bespreken we kort de belangrijkste concepten en mechanismen rond het autonome zenuwstelsel. Heb je nu al vragen of dingen die je wilt verduidelijken voordat we starten?

Als je geen specifieke vraag hebt, kun je dan antwoord geven op het volgende:  
Weet je wat de twee belangrijkste delen van het autonome zenuwstelsel zijn, en wat elk deel doet?","2025-10-15T16:06:23.561753+00:00"
"user","De twee belangrijkste delen van het autonome zenuwstelsel zijn het parasympatische zenuwstelsel en het sympathische zenuwstelsel. Het parasympatische stelsel regelt je orgaanfuncties en sympatische regelt dat er verl glucose in het bloed komt.","2025-10-15T16:08:51.768415+00:00"
"assistant","Goed, je noemt inderdaad de twee delen: het sympathische en het parasympathische zenuwstelsel. Kun je iets verder uitleggen wat elk deel precies doet? Bijvoorbeeld:  
- In welke situaties is het sympathische deel actief, en wat gebeurt er dan zoal in het lichaam?  
- Wanneer is het parasympathische deel actief, en welke processen worden dan juist gestimuleerd?

Kun je deze vragen beantwoorden?","2025-10-15T16:09:00.443126+00:00"
"user","Het sympatische deel is actief tijdens stress en dan wordt het glycogeen omgezet in glucose en komt het in het bloed. Het parasympatische deel is actief tijdens rust en ik weet niet meer wat hij doet.","2025-10-15T16:10:59.839543+00:00"
"assistant","Mooi, je geeft aan dat het sympathische zenuwstelsel vooral actief is tijdens stress en zorgt voor een hogere bloedsuikerspiegel. Je weet niet meer precies wat het parasympatische deel doet—dat is niet erg!  

Heb je wel een idee welke organen/ lichaamsfuncties vooral onder controle staan van het parasympathische zenuwstelsel tijdens rust? Denk bijvoorbeeld aan wat er gebeurt met je spijsvertering, hartslag, of ademhaling als je helemaal ontspannen bent. Kun je hier iets over uitleggen?","2025-10-15T16:11:09.780661+00:00"
"user","Het parasympatische deel stimuleert de spijsvertering en regelt ook de nieren. Ook worden de gladde spieren in de bloedvaten geregeld door het parasympatische deel.","2025-10-15T16:12:23.445136+00:00"
"assistant","Goed, je benoemt dat het parasympathische deel de spijsvertering stimuleert en ook invloed heeft op de nieren. Over de gladde spieren in de bloedvaten: meestal is het vooral het sympathisch zenuwstelsel dat daar de grootste rol speelt, vooral bij het vernauwen van de vaten. 

Nog een stapje verder:  
Weet je welke chemische stof (neurotransmitter) het parasympathische zenuwstelsel gebruikt om signalen naar organen te sturen? En weet je ook hoe dit bij het sympathische zenuwstelsel werkt? 

Kun je dit toelichten?","2025-10-15T16:12:34.27045+00:00"
