"role","content","created_at"
"user","Laten we beginnen","2025-10-15T16:01:17.895082+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Hier is de eerste casus:

###VIGNETTE 1###
Een 19-jarige jongen vertelt dat hij tijdens zijn eerste universitaire examens begon te merken dat zijn hart hevig klopte, zijn handpalmen bezweet raakten en zijn ademhaling versnelde. Ook voelde hij zich wat misselijk en had hij een droge mond. Nadat hij was aangekomen en had plaatsgenomen in de examenzaal, haalde hij een paar keer diep adem. Binnen 10 minuten vertraagde zijn hartslag, normaliseerde zijn ademhaling, en kreeg hij aandrang om naar het toilet te gaan.

Kun jij uitleggen waardoor de symptomen bij deze student werden veroorzaakt? Denk aan het deel van het autonoom zenuwstelsel dat hier verantwoordelijk voor is.","2025-10-15T16:01:34.928417+00:00"
"user","Eerst had de jongen veel adrenaline en stress voor de toets, hierdoor ging zijn hartslag omhoog, stofwisseling sneller waardoor hij het warmer kreeg en ging zweten en ademhaling versnelde ook omdat zijn hartslag dus omhoog ging. Wanneer de adrenaline weg was en de jongen tot rust kwam, was zijn autonome zenuwstelsel actiever waardoor ADH productie afnam en hij moest plassen","2025-10-15T16:05:35.303441+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Goed gedaan! Je noemt al belangrijke aspecten, zoals “adrenaline”, stress en het autonome zenuwstelsel. Laten we een korte pauze nemen en starten met Kennisactivering (Phase 1).

Heb je op dit moment vragen of onduidelijkheden over het autonome zenuwstelsel die je graag eerst wil bespreken? 

Zo niet, kun je mij dan uitleggen:
- Welke twee hoofdonderdelen het autonome zenuwstelsel heeft, en wat elk onderdeel ongeveer doet?","2025-10-15T16:05:44.649157+00:00"
"user","Je hebt het ortosympatisch en parasympatische zenuwstelsel hierbij is ortosympatisch als je hartslag hoger is actief en parasympatisch als je in rust bent en lagere hartslag hebt actief","2025-10-15T16:07:18.680927+00:00"
"assistant","Mooi uitgelegd! Je noemt het orthosympatische (sympathische) en het parasympatische zenuwstelsel, en koppelt ze al aan hartslag en rust.

Hoe reizen de signalen van het autonome zenuwstelsel eigenlijk van de hersenen naar een orgaan, bijvoorbeeld het hart? Welke stappen en signaalstoffen horen daarbij?","2025-10-15T16:07:26.549347+00:00"
"user","Er zijn dendrieten in de hersenen die een actiepotentiaal doorgeven aan axonen via acetylcholine die bindt aan nicotinereceptoren van axon dit gaat zo door totdat het het orgaan heeft bereikt","2025-10-15T16:09:50.390852+00:00"
"assistant","Goed geprobeerd! Je benoemt de route van zenuwsignalen van de hersenen naar het orgaan, en noemt acetylcholine en nicotinereceptoren. Maar klopt het dat dit bij alle takken van het autonoom zenuwstelsel op dezelfde manier verloopt? Of zijn er verschillen tussen het sympathische en parasympatische deel — bijvoorbeeld in de signaalstoffen die uiteindelijk op het eindorgaan werken?

Kun je voor beide systemen benoemen:
1. Welke neurotransmitter(s) gebruikt worden bij het laatste deel (dus bij het orgaan zelf)?
2. Tegen welk type receptor op het orgaan deze neurotransmitter werkt?","2025-10-15T16:10:00.53766+00:00"
"user","Bij het laatste deel zijn acetylcholine en nicotinereceptoren","2025-10-15T16:10:52.038583+00:00"
"assistant","Interessant antwoord! Acetylcholine is inderdaad een belangrijke neurotransmitter. Maar zijn het op het eindorgaan altijd nicotinereceptoren, of zijn er soms ook andere receptoren betrokken? Wat denk je dat het verschil is tussen de receptoren in parasympatische en sympathische systemen bij het doelorgaan? Heb je daar ideeën over?","2025-10-15T16:10:59.553344+00:00"
"user","Je hebt nicotinereceptoren en bèta receptoren ofzo? Ik weet het niet meer precies","2025-10-15T16:11:49.734857+00:00"
