"role","content"
"user","Start"
"assistant","De lichaam slaat glucose op in de vorm van glycogeen, voornamelijk in de lever en spieren, zodat het beschikbaar is wanneer energie nodig is—vooral tussen maaltijden of tijdens inspanning. 
Bij glycogeenstapelingsziekten (GSD’s) is dit proces verstoord door erfelijke enzymdeficiënties. Als gevolg hiervan heeft het lichaam moeite om een normale bloedsuikerspiegel te behouden, vooral tijdens vasten. Om te compenseren worden andere metabole routes geactiveerd. Echter, bij GSD zijn alternatieve paden, zoals de Cori-cyclus, ook verstoord.
Een meisje van 3 jaar met GSD komt bij de arts omdat ze erg prikkelbaar is en haar buik opgezet is. Haar lever is vergroot en bloedonderzoek laat zien:
Bloedglucose: 45 mg/dL (normaal: 70–110 mg/dL)
Bloedketonen: Negatief (normaal: negatief)
Lactaat: 4,2 mmol/L (normaal: 0,5–2,0 mmol/L)

Kun je uitleggen wat er in deze casus aan de hand is?"
"user","Haar glucose is laag, en haar lactaat is hoog. Er is wat mis met de glycolyse"
"assistant","Goede poging! Voordat we verder gaan, laten we even een stapje terug doen en samen de basiskennis hierover doornemen. Dit helpt je straks bij het analyseren van de details van deze casus. Heb je hierover al vragen of onduidelijkheden?

Anders: kun je kort uitleggen wat glycolyse precies is? Of wil je liever eerst iets weten over glycogeenafbraak (glycogenolyse), of over hoe cellen normaal gesproken aan energie komen? Je mag ook je eigen vraag stellen!"
"user","Bij de glycolyse wordt netto 2 atp, 2 nadh en 2 co2 gevormd"
"assistant","Je bent al goed op weg! Er zijn echter een paar kleine details om bij stil te staan. 

Bij glycolyse wordt glucose afgebroken tot pyruvaat. Klopt het volgens jou dat er bij glycolyse CO₂ vrijkomt? Waar en bij welke stap in de energieproductie ontstaat CO₂ meestal?

Wil je ook proberen te benoemen waar in de cel glycolyse plaatsvindt, en wat er met die NADH en pyruvaat gebeurt onder aerobe en anaërobe omstandigheden?"
"user","In het cytosol vind glycolyse plaats, bij anaërobe omstandigheden wordt er geen pyruvaat gemaakt, maar juist lactaat"
"assistant","Mooi, je weet dat glycolyse in het cytosol plaatsvindt! Eén kleine aanvulling: glycolyse levert altijd pyruvaat, maar wat er daarna met pyruvaat gebeurt is afhankelijk van de beschikbaarheid van zuurstof.

- Onder aerobe omstandigheden wordt pyruvaat verder omgezet in acetyl-CoA en gaat het de citroenzuurcyclus in.
- Onder anaërobe omstandigheden (zoals bij zuurstoftekort of wanneer de mitochondriën niet goed werken) wordt pyruvaat omgezet in lactaat.

Waarom denk je dat cellen pyruvaat omzetten in lactaat als er geen zuurstof aanwezig is? Wat is het voordeel hiervan voor de energiehuishouding van de cel?"
"user","De lactaat wordt gebruikt als reserve, en kan later gebruikt worden voor ATP"
"assistant","Interessante gedachte! Inderdaad kan lactaat later weer door de lever worden omgezet in glucose (gluconeogenese), maar direct in spiercellen is lactaat niet echt een energiereserve.

Misschien denk je aan de zogenaamde Cori-cyclus. Maar laten we één stap terug doen: wat gebeurt er precies tijdens de omzetting van pyruvaat naar lactaat, en waarom is dat belangrijk voor het voortzetten van glycolyse onder anaërobe omstandigheden? Wat gebeurt er bijvoorbeeld met NADH in dit proces?"
