"role","content","created_at"
"user","begin","2025-09-29T16:54:39.636527+00:00"
"assistant","Hier volgt de casus om te starten:

###VIGNETTE 1###
Het lichaam slaat glucose op in de vorm van glycogeen, voornamelijk in de lever en spieren, om het te kunnen gebruiken als er energie nodig is — vooral tussen de maaltijden of tijdens inspanning. 
Bij Glycogeenstapelingsziekten (GSD’s) is dit proces verstoord door erfelijke enzymdeficiënties. Hierdoor heeft het lichaam moeite om normale bloedglucosewaarden te behouden, vooral tijdens vasten. Om te compenseren, worden er andere metabole routes geactiveerd. In GSD zijn alternatieve paden, zoals de Cori-cyclus, extra belangrijk.
Een 3-jarig meisje met GSD komt bij de arts omdat ze erg prikkelbaar is en haar buik opgezet lijkt. De lever is vergroot, en bloedonderzoek toont:
Bloedglucose: 45 mg/dL (normaal: 70–110 mg/dL)
Bloedketonen: Negatief (normaal: negatief)
Lactaat: 4,2 mmol/L (normaal: 0,5–2,0 mmol/L)

Kun je uitleggen wat er in dit geval gebeurt?","2025-09-29T16:54:57.677445+00:00"
"user","ze moet een dieet volgen","2025-09-29T16:55:08.868433+00:00"
"assistant","Dat is een interessante gedachte! Inderdaad moeten patiënten met een glycogeenstapelingsziekte vaak hun dieet aanpassen, maar laten we de casus verder onderzoeken: waarom moet dit meisje eigenlijk haar dieet aanpassen? Wat is er mis in de energievoorziening van haar cellen?

Voordat we doorgaan, is het goed om even een stap terug te doen en samen de basis te herhalen. Dit helpt om het vervolg beter te begrijpen! 

Wat weet je van het proces glycogenolyse, oftewel het vrijmaken van glucose uit glycogeen? En heb je al eens gehoord van glycolyse of de functie van de Cori-cyclus? Zijn er thema’s die je nu al lastig vindt?","2025-09-29T16:55:20.369393+00:00"
"user","glycolyse wordt niet meer omgezet in glucose, hierdoor zakt de bloedsuikerspiegel heel snel en moet je op bepaalde tijden eten en niet vasten","2025-09-29T16:55:55.587348+00:00"
"assistant","Je komt al een eind in de goede richting! Je zegt dat glycolyse niet meer wordt omgezet in glucose. Bedoel je misschien dat glycogeen niet goed kan worden omgezet in glucose doordat er een enzymmist is? 

Zullen we kort de begrippen opfrissen?   

Wat gebeurt er normaal als er geen voedsel beschikbaar is en je bloedsuiker daalt? Welke processen zorgt ervoor dat er tóch glucose in het bloed komt? Vind je het lastig om deze processen op te noemen, of weet je hier al iets van?","2025-09-29T16:56:14.940876+00:00"
"user","dan wordt glycogeen omgezet in glucose waardoor de bloedsuikerspiegel weer stijgt","2025-09-29T16:56:39.681916+00:00"
"assistant","Precies, heel goed! Dus normaal gesproken zorgt **glycogenolyse** ervoor dat glycogeen (de opslagvorm van glucose in lever en spieren) wordt afgebroken tot losse glucosemoleculen, die dan de bloedbaan in kunnen gaan als er even geen voeding is.

Misschien handig om nog even samen te vatten:
- Glycogenolyse = afbraak van glycogeen naar glucose.
- Dit gebeurt vooral in de lever.
- Het is belangrijk bij vasten of tussen maaltijden.

Wil je nu iets meer weten over glycolyse of anaerobe/aerobe verbranding, of voel je je zeker over deze stappen? Geef gerust aan als er bepaalde dingen nog niet helder zijn. 

Als dit duidelijk is, dan stel ik voor dat we doorpakken naar een andere basisvraag: weet je wat er met glucose gebeurt als het een cel binnenkomt? Weet je wat glycolyse precies inhoudt?","2025-09-29T16:56:52.148845+00:00"
"user","glucose wordt opgenomen door het bloed. glycolyse is de afbraak van glycogeen naar glucose","2025-09-29T16:57:16.733726+00:00"
"assistant","Goed dat je het probeert! Je haalt nu glycolyse en glycogenolyse een beetje door elkaar, dit is best verwarrend voor veel studenten in het begin.

- **Glycogenolyse**: afbraak van glycogeen tot glucose (in lever en spier).
- **Glycolyse**: afbraak van glucose (in het cytoplasma van bijna alle cellen) tot pyruvaat, waarbij een beetje ATP en NADH vrijkomt.

Dus nadat glucose via het bloed bij een cel komt, ondergaat het glycolyse. 

Zou je willen proberen te beschrijven wat er bij glycolyse uit glucose ontstaat, of welke energieproducten dit oplevert? Denk je dat je bijvoorbeeld weet hoeveel ATP of NADH ermee gemaakt wordt? Of wil je liever dat ik dat kort toelicht?","2025-09-29T16:57:28.379213+00:00"
