"role","content","created_at"
"user","hoi","2025-10-15T13:17:46.950004+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Hier is de eerste casus:

###VIGNETTE 1###
Een 19-jarige student vertelt dat hij op weg naar zijn eerste tentamens ineens ervoer dat zijn hart sneller ging kloppen, zijn handpalmen gingen zweten en zijn ademhaling versnelde. Ook voelde hij zich een beetje misselijk en had hij een droge mond. Toen hij in de tentamenzaal zat en een paar keer diep ademhaalde, merkte hij dat zijn hartslag rustiger werd, zijn ademhaling weer normaal werd en hij aandrang voelde om naar het toilet te gaan.

Kun je uitleggen waardoor deze student deze klachten ervaart? Denk hierbij aan welk deel van het autonome zenuwstelsel hierbij betrokken is.","2025-10-15T13:17:58.994187+00:00"
"user","de eerste symptomen komen door het sympatischwe zenwustelselen , hij had zenuwen voor zijn tentamen en toen hij tot rust kwam toen gingen de klachten voorbij en ontpsande de darmen weer.","2025-10-15T13:19:21.120788+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Goed geprobeerd! Laten we even pauzeren en starten met Fase 1 – Kennisactivering. In deze fase bekijken we kort de belangrijkste concepten en mechanismen die bij deze casus horen.

Heb je zelf nog vragen of zijn er punten die je graag eerst wilt verduidelijken voordat we verder gaan?

Zo niet, kun je me dan vertellen wat de twee hoofdonderdelen zijn van het autonome zenuwstelsel, en wat hun functies zijn?","2025-10-15T13:19:30.072281+00:00"
"user","sympatische en parasympatisch, parasympatisch is voor rust en synpatische voor actie","2025-10-15T13:20:07.693486+00:00"
"assistant","Mooi! Je noemt inderdaad het sympathisch en het parasympathisch zenuwstelsel. 

Kun je verder toelichten hoe signalen vanuit de hersenen tot bij de organen komen in dit systeem? Heb je enig idee welke boodschapperstoffen (neurotransmitters) deze zenuwen gebruiken om signalen door te geven aan de organen?","2025-10-15T13:20:14.842059+00:00"
"user","je hebt efferente neuronen en postganglionaire neurotransmitters","2025-10-15T13:20:48.721619+00:00"
"assistant","Klopt, je noemt efferente neuronen en postganglionaire neurotransmitters. Laten we dit nog iets specifieker maken.

Weet je welke neurotransmitters vooral gebruikt worden door het sympathische en parasympathische systeem aan het eind van hun zenuw? En wat hun effect is op een orgaan, bijvoorbeeld het hart?","2025-10-15T13:20:56.145526+00:00"
"user","ja acetylchlorine en noradrenaline","2025-10-15T13:22:05.83105+00:00"
"assistant","Mooi, dat klopt! Acetylcholine wordt meestal gebruikt door het parasympathisch systeem (bijvoorbeeld via de nervus vagus), en noradrenaline door het sympathisch systeem.

Weet je ook via welke receptoren deze stoffen werken op de organen? Kun je bijvoorbeeld benoemen welke receptoren betrokken zijn bij de reactie van het hart op deze systemen?","2025-10-15T13:22:13.267051+00:00"
"user","metabotrope receptoren","2025-10-15T13:22:39.102796+00:00"
