"role","content","created_at"
"user","ik ben klaar om te starten!","2025-11-05T16:48:06.167934+00:00"
"assistant","Welkom! In deze activiteit werk je samen met een virtuele tutor om te verkennen hoe bloed en gaswisseling plaatsvindt aan de hand van belangrijke fysiologische principes. Je wordt begeleid om je eigen verhaal op te bouwen dat uitlegt wat er gebeurt en waarom in een klinische situatie.

Het creëren van je eigen verhaal over een casus helpt je om concepten met elkaar te verbinden, ze langer te onthouden en deze kennis later toe te passen in echte klinische situaties. Tegelijkertijd lijkt deze manier van redeneren op hoe artsen betekenis geven aan wat er bij hun patiënten gebeurt – en later gebruik jij dit met je eigen patiënten.

Deze activiteit bestaat uit drie fases:
Fase 1 – Kennis activeren: haal op wat je al weet over bloed en gaswisseling.
Fase 2 – Narratief bouwen: pas die kennis toe en leg uit wat er gebeurt in een gegeven scenario.
Fase 3 – Redeneren in nieuwe situaties: gebruik jouw begrip om een nieuwe casus te doorgronden en zie hoe dezelfde principes gelden.

Klaar om te beginnen?

[■□□□□]  20% – Knowledge activation started! Let’s recall how gas exchange works step by step!","2025-11-05T16:48:22.93632+00:00"
"user","yep klaar om te beginnen!","2025-11-05T16:48:53.851375+00:00"
"assistant","Hier volgt de eerste casus:

Een 65-jarige vrouw wordt opgenomen in het ziekenhuis met progressieve benauwdheid over de afgelopen 3 maanden. In de afgelopen dagen zijn haar klachten verergerd. Zelfs kleine huishoudelijke klusjes en lopen lukken nauwelijks nog zonder pauzes om op adem te komen. Daarnaast heeft ze meer last van haar gebruikelijke hoest en koorts.

Vijf jaar geleden is er bij haar COPD vastgesteld. Bij COPD leidt chronische ontsteking tot beschadiging van de alveolaire wanden, en zorgt airway remodelling voor het verdikken van de alveolocapillaire barrière.

Laboratoriumuitslagen:
- Hemoglobine: 10,0 g/dL (Referentie: 12–16 g/dL)  
- Arterieel bloedgas:  
  1. pH: 7,30 (Referentie: 7,35–7,45) → acidose  
  2. Partiële zuurstofdruk (PaO₂): 65 mmHg (Referentie: 80–100 mmHg)  
  3. Partiële koolstofdioxidedruk (PaCO₂): 51 mmHg (Referentie: 35–45 mmHg)  
  4. Percentage hemoglobine verzadigd met zuurstof (SaO₂): 89% (Referentie: 95–100%)  

Leg uit waarom deze patiënt benauwd is en wat haar labuitslagen verklaren.

","2025-11-05T16:49:14.31586+00:00"
"user","Deze patient is benauwd omdat de saturatie in haar bloed laag is. Dit betekent dat het gehalte hemoglobine verzadigd met zuurstof laag is. Haar longen gaan compenseren voor het lage zuurstofgehalte. De lapuitslagen verklaren dit: mevrouw heeft een lage partiële zuurstofdruk dus een laag zuurstofgehalte in het bloed. Mevrouw heeft een verlaagde hoeveelheid hemoglobine. haar partiële zuurstofdruk is verhoogd.","2025-11-05T16:54:18.338148+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Goed geprobeerd! Laten we even pauzeren en starten met Fase 1 – Kennis activeren. In deze fase herhalen we kort de belangrijkste concepten en mechanismen rondom deze casus.

Heb je zelf punten waar je tegenaan loopt of vragen over bloed en gaswisseling voordat we samen alle basiskennis doornemen? 

Zo niet, dan kunnen we samen starten! Bijvoorbeeld: welke hoofdprocessen komen in je op als je denkt aan bloed en gaswisseling?","2025-11-05T16:54:27.92762+00:00"
"user","longen, stroming van bloed, alveoli, zuurstof, koolstofdioxide, wet van Fick","2025-11-05T16:55:17.883956+00:00"
"assistant","Mooi begin! Je noemt de longen, de stroom van bloed, alveoli, zuurstof, koolstofdioxide en de wet van Fick. 

Kun je in je eigen woorden uitleggen hoe zuurstof vanuit de longen uiteindelijk bij de weefsels terechtkomt? Wat zijn daarbij de rollen van de longen, het bloed en de weefsels?","2025-11-05T16:55:26.396306+00:00"
"user","het bloed stroomt door de longen, de kleine dunne haarvaten splitsen op en lopen langs de alveoli. Hier vindt de uitwisseling van gassen plaats. Door middel van diffusie en druk verplaatst zuurstof over het membraan in het bloed, waar het koppelt aan de ijzer in hemoglobine. Zo wordt het met het bloed vervoerd naar weefsels die zuurstof nodig hebben.","2025-11-05T16:58:53.309943+00:00"
"assistant","Heel goed uitgelegd! Je beschrijft heel duidelijk de stappen van zuurstofopname via de alveoli naar de binding aan hemoglobine en het transport naar de weefsels.

Nu een vervolgvraag: wat gebeurt er met het koolstofdioxide dat in de weefsels ontstaat? Hoe wordt dat door het bloed getransporteerd terug naar de longen? En welke rol speelt hemoglobine hierin?","2025-11-05T16:59:01.523173+00:00"
