"role","content","created_at"
"user","Laten we beginnen","2025-09-29T15:02:06.553379+00:00"
"assistant","Hier is de eerste casus om de stof over energiemetabolisme te verkennen:

###VIGNETTE 1###
Het lichaam slaat glucose op in de vorm van glycogeen, voornamelijk in de lever en spieren, om te kunnen gebruiken wanneer er energie nodig is—vooral tussen de maaltijden of tijdens inspanning.  
Bij Glycogeenstapelingsziekten (GSD’s) is dit proces verstoord door aangeboren enzymdeficiënties. Hierdoor heeft het lichaam moeite om normale bloedglucosewaarden te behouden, vooral tijdens vasten. Om te compenseren worden andere metabole routes geactiveerd. Maar bij GSD zijn deze alternatieven, zoals de Cori-cyclus, meestal onvoldoende.  
Een 3-jarig meisje heeft GSD en bezoekt haar dokter omdat ze erg prikkelbaar is en haar buik opgezet lijkt. Haar lever is vergroot en bloedonderzoek toont:  
Bloedglucose: 45 mg/dL (normaal: 70–110 mg/dL)  
Bloedketonen: Negatief (normaal: negatief)  
Lactaat: 4.2 mmol/L (normaal: 0.5–2.0 mmol/L)

Kun je uitleggen wat er in dit geval is gebeurd?","2025-09-29T15:02:26.757286+00:00"
"user","Hypoglykemie: Door enzymdefect kan glycogeen niet worden afgebroken ->lage bloedglucose. Geen ketonen: Alternatieve energie via vetten faalt ->geen ketonproductie. - Verhoogd lactaat: Pyruvaat wordt omgezet in lactaat -> lactaatacidose. - Vergrote lever: Glycogeen hoopt zich op ->hepatomegalie. ->Waarschijnlijk GSD type I (Von Gierke) -> Behandeling: frequente voeding maïszetmeel, voorkomen van vasten","2025-09-29T15:04:27.407886+00:00"
"assistant","Goed geprobeerd! Je noemt de belangrijkste klinische verschijnselen en schakelt meteen door naar wat mogelijke oorzaken kunnen zijn. Voordat we verder analyseren, laten we even een stap terugnemen en samen de relevante basiskennis ophalen over energiemetabolisme. Dit helpt om de rest van de casus goed te begrijpen. Heb je tot nu toe vragen of onduidelijkheden?

Zo niet:  
Kun je kort uitleggen wat glycolyse precies is?","2025-09-29T15:04:35.137606+00:00"
"user","Glycolyse is het proces waarbij glucose (een suiker) in de cel wordt afgebroken tot pyruvaat, waarbij energie vrijkomt in de vorm van ATP en NADH. Vindt plaats in het cytoplasma Levert snel energie, zonder zuurstof Eerste stap van de cellulaire ademhaling","2025-09-29T15:05:27.747282+00:00"
"assistant","Mooi samengevat! Glycolyse is inderdaad een snel proces, vindt plaats in het cytoplasma, en levert ATP en NADH – ook als er geen zuurstof is.

Om verder te bouwen aan je kennisbasis:  
Weet je wat het verschil is tussen glycogenolyse en gluconeogenese? Wil je één van beide kort uitleggen, of heb je daar specifieke vragen over?","2025-09-29T15:05:36.179967+00:00"
"user","ik zal wel beiden uitleggen","2025-09-29T15:06:03.50976+00:00"
"assistant","Dat is een goed idee! Neem de tijd om uit te leggen wat glycogenolyse en gluconeogenese zijn. Zo wordt het verschil meteen duidelijker voor jezelf. Begin maar!","2025-09-29T15:06:09.028159+00:00"
"user","Glycogenolyse = glucose uit opgeslagen voorraad Gluconeogenese = glucose uit nieuwe bouwstenen","2025-09-29T15:06:51.173376+00:00"
"assistant","Korte, duidelijke omschrijving! Even controleren of het helemaal klopt en om iets verder te gaan:  
Bij glycogenolyse wordt glycogeen afgebroken tot glucose-6-fosfaat (en vervolgens eventueel tot vrije glucose). Dit proces vindt vooral plaats in lever en spieren. Je zegt dat gluconeogenese het maken van glucose uit nieuwe bouwstenen is, en dat klopt ook.  
Weet je uit welke ‘nieuwe bouwstenen’ (substraten) het lichaam glucose kan maken bij gluconeogenese? Noem er eens een paar!","2025-09-29T15:07:00.587329+00:00"
