"role","content","created_at"
"user","ik ben klaar om te beginnen","2025-10-15T15:08:59.949965+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Kun je de symptomen bij de student uitleggen? Denk hierbij aan het deel van het autonoom zenuwstelsel dat verantwoordelijk is voor deze klachten.","2025-10-15T15:09:07.389015+00:00"
"user","kan je de casus ook geven","2025-10-15T15:09:37.013896+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Natuurlijk! Hier is de casus van de student:

###VIGNETTE 1###
Een 19-jarige jongen vertelt dat hij tijdens zijn eerste tentamens op de universiteit zijn hart voelde bonzen, zijn handpalmen werden klam en hij merkte dat zijn ademhaling sneller ging. Ook voelde hij zich wat misselijk en had hij een droge mond. Nadat hij aangekomen was in de examenzaal en ging zitten, haalde hij een paar keer diep adem. Binnen 10 minuten vertraagde zijn hartslag, werd zijn ademhaling weer normaal en voelde hij aandrang om naar het toilet te gaan.

Kun je deze symptomen uitleggen? Denk aan het deel van het autonoom zenuwstelsel dat hiervoor verantwoordelijk is.","2025-10-15T15:09:48.572848+00:00"
"user","het sympatische zenuwstelsel die aan gaat zodra je stress ervaart en deze jongen zal waarschijnlijk vlak voor zijn eerste tentamen veel stress ervaren of in ieder geval spanning, waardoor deze symptomen ontstaan","2025-10-15T15:10:55.93836+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Goede start! Laten we even pauzeren en echt beginnen met Fase 1 – Kennisactivering. In deze fase lopen we kort door de belangrijkste concepten en mechanismen rond deze casus heen. Heb je op dit moment nog vragen of punten die je extra wilt bespreken voordat we samen de kennis activeren?

Zo niet, dan heb ik eerst een vraag voor jou:  
Weet je wat de twee hoofdonderdelen zijn van het autonoom zenuwstelsel, en wat elk deel doet?","2025-10-15T15:11:05.644242+00:00"
"user","ja sympatisch en parasympatisch, sympatisch staat aan bij actie en stress en het parasympatische staat aan bij rust en herstel","2025-10-15T15:11:42.557868+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Klopt helemaal! Het sympatische deel helpt bij actie (“fight or flight”) en het parasympatische juist bij rust (“rest and digest”). 

Kun je uitleggen hoe een signaal vanuit de hersenen uiteindelijk bij een orgaan terechtkomt binnen dit systeem? Bijvoorbeeld: wat gebeurt er vanaf het moment dat je zenuwachtig wordt totdat je hart sneller gaat kloppen?","2025-10-15T15:11:50.369169+00:00"
"user","een afferent neuron stuurt deze zenuwachtige signalen door naar de hersenen die er een bepaalde beschermingsreactie op geven, waaronder een sneller kloppend hart","2025-10-15T15:12:40.634696+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Je beschrijft mooi het afferente deel van de route: signalen gaan naar de hersenen. Laten we nu eens kijken naar het efferente gedeelte, dus van hersenen naar organen. 

Welke stoffen (neurotransmitters) worden gebruikt door het sympathische zenuwstelsel om een orgaan, zoals het hart, sneller te laten kloppen? Weet je op welk soort receptoren deze stoffen werken?","2025-10-15T15:12:49.105264+00:00"
"user","acetylcholine?","2025-10-15T15:13:00.579686+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Dat is een interessante gok! Acetylcholine wordt inderdaad in het autonome zenuwstelsel gebruikt, maar vooral door het parasympathische deel.  
Bij het sympathische zenuwstelsel – bijvoorbeeld bij het sneller laten kloppen van het hart – wordt een andere stof gebruikt. Kun je bedenken welke neurotransmitter betrokken is bij sympathische activering van het hart? En weet je misschien bij welk type receptor dat past?","2025-10-15T15:13:09.660585+00:00"
"user","adrenaline","2025-10-15T15:13:19.672249+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Goed, adrenaline speelt inderdaad een rol bij de “fight or flight”-reactie, vooral als hormoon uit het bijniermerg. Maar het sympathische zenuwstelsel gebruikt bij de meeste zenuwuiteinden direct een neurotransmitter.  
Denk je dat noradrenaline (norepinefrine) hier een rol speelt?  
En weet je op welke adrenerge receptor in het hart noradrenaline werkt om de hartslag te verhogen?","2025-10-15T15:13:28.249136+00:00"
"user","ja ik denk dat noradrenaline hier een rol speelt maar ik weet niet welke adrenerge receptoren hierbij werken","2025-10-15T15:14:15.205105+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Prima, noradrenaline is inderdaad de belangrijkste neurotransmitter bij sympathische activering van het hart. De receptoren waar noradrenaline op werkt in het hart zijn de β₁-adrenerge receptoren.

Nu nog één vraag voordat we naar de volgende fase gaan:  
Wat gebeurt er in het lichaam als het parasympathische systeem actiever wordt na de stressvolle situatie? Welke processen worden dan juist gestimuleerd?","2025-10-15T15:14:23.409406+00:00"
