"role","content","created_at"
"user","hoi ik wil graag leren","2025-11-16T20:02:13.415582+00:00"
"assistant","Welcome! In this activity, you’ll work with a virtual tutor to explore how haemostasis happens through key physiological principles. You’ll be guided to build your own narrative that explains what happens and why in a clinical situation.

Creating your own story about a case helps you connect ideas, remember them longer, and apply this knowledge in future clinical situations. At the same time, this way of reasoning mirrors how doctors make sense of what happens in their patients—and one day, you’ll use it to work and reason together with your own patients.

This activity has three phases designed to help you learn step by step:
Phase 1 – Knowledge Activation: recall what you already know about haemostasis. The first case serves as a trigger to help you think and reflect — we’ll return to the case once we’ve completed this knowledge activation phase.
Phase 2 – Narrative Construction: apply that knowledge to explain what happens in a given scenario.
Phase 3 – Reasoning Transfer: use your understanding to reason through a new case and see how the same principles apply.

Please note that you can access feedback on your learning progress at any time by clicking the feedback button — it’s a helpful way to reflect on what you’ve learned and what to focus on next!

Ready to begin?

[■□□□□]  20% – Knowledge activation started! Let’s recall how haemostasis works step by step!","2025-11-16T20:02:30.66276+00:00"
"user","Kan het in het nederlands","2025-11-16T20:02:41.388421+00:00"
"assistant","Natuurlijk, ik kan het gesprek in het Nederlands voortzetten!

Hier is de eerste casus om je gedachten te prikkelen:

###CASUS 1###
Een 60-jarige vrouw komt binnen met een levensbedreigende bloeding. Ze gebruikt warfarine, een antistollingsmiddel dat werkt op de vitamine K-afhankelijke stollingsfactoren, vanwege een hartprobleem. De afgelopen dagen had ze al bloedend tandvlees opgemerkt.
Laboratoriumresultaten:
1. Protrombinetijd (PT): Verlengd
2. Geactiveerde partiële tromboplastinetijd (aPTT): licht verlengd
3. Aantal bloedplaatjes: Normaal
4. Fibrinogeen: Normaal

Kun je de klachten van deze patiënt en de labuitslagen verklaren?

","2025-11-16T20:02:53.496707+00:00"
"user","geen idee","2025-11-16T20:03:35.055033+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Geen probleem! Laten we samen de basiskennis activeren: 

We starten met Phase 1 – Kennisactivatie. In deze fase bespreken we kort de belangrijkste begrippen en mechanismen die bij deze casus horen.

Heb je op dit moment vragen of begrippen die je graag zou willen verduidelijken voordat we beginnen?

[■□□□□]  20% – Kennisactivatie gestart! Rustig stap voor stap – samen kom je verder.","2025-11-16T20:03:44.009111+00:00"
"user","Wat is de protrombinetijd en de geactiveerde partiele tromboplastinetijd? En wat doet warfarine precies","2025-11-16T20:04:40.695338+00:00"
"assistant","Prima vragen, precies de juiste plek om te beginnen! 

De protrombinetijd (PT) en de geactiveerde partiële tromboplastinetijd (aPTT) zijn beide tests om te meten hoe snel je bloed stolt. Maar ze testen verschillende delen van het stollingssysteem.

De PT meet de werking van de zogeheten “extrinsieke” route van de stollingscascade (en de gezamenlijke route). De aPTT meet juist de “intrinsieke” route (en ook de gezamenlijke route). 

Warfarine is een antistollingsmiddel. Heb je enig idee welk deel van de stollingscascade warfarine precies beïnvloedt, en waarom een tekort aan vitamine K hierbij belangrijk is? Wat denk je dat er gebeurt als die factoren niet werken?","2025-11-16T20:04:55.727941+00:00"
"user","Ik weet even niet zo goed hoe de stollingscascade werkt en waarom vitamine K van belang is","2025-11-16T20:07:08.580385+00:00"
"assistant","Dat is helemaal oké! Laten we samen even terug naar de basis gaan.

Als je denkt aan het stoppen van een bloeding in het lichaam, welke hoofdfasen of hoofdprocessen komen dan bij je op? Waar begint het, en hoe wordt het uiteindelijk een stevig stolsel? 

Kun je beschrijven wat allereerst gebeurt nadat een bloedvat beschadigd raakt, voordat het bloed daadwerkelijk stolt?","2025-11-16T20:07:16.263747+00:00"
"user","er treedt dan vasoconstictie op zodat er minder bloed daar naartoe gaat?","2025-11-16T20:07:46.758522+00:00"
"assistant","Goed! Je noemt vasoconstrictie — dat klopt: meteen na schade vernauwt het bloedvat zich om het bloedverlies te beperken.

Wat gebeurt er volgens jou daarna, voordat het echte “stollen” begint? Wat is de volgende stap na vasoconstrictie?","2025-11-16T20:07:52.97636+00:00"
"user","Weet ik niet","2025-11-16T20:08:17.714487+00:00"
"assistant","Geen probleem, hier een hint: na de vasoconstrictie spelen bloedplaatjes een cruciale rol. Ze reageren snel op het beschadigde bloedvat.

Wat denk je dat bloedplaatjes doen zodra ze het beschadigde gedeelte bereiken? Heb je een vermoeden over wat hun taak is in de vorming van een stolsel?","2025-11-16T20:08:27.003735+00:00"
"user","De bloedplaatjes gaan aan het bloedvat vastplakken en zorgen ervoor dat er meer bloedplaatjes op af komen","2025-11-16T20:09:39.717684+00:00"
"assistant","Precies! Bloedplaatjes plakken aan de beschadigde wand (adhesie), raken geactiveerd, en trekken vervolgens meer bloedplaatjes aan die samen een tijdelijke “prop” of plug vormen. Dit heet primaire hemostase.

We zijn nu bij de rol van de stollingsfactoren aanbeland. Kun je je voorstellen wat er daarna nog nodig is om van deze losse plug een sterk, stevig stolsel te maken? Wat gebeurt er tijdens de secundaire hemostase (de stollingscascade)?","2025-11-16T20:09:49.034869+00:00"
"user","Dan worden er fibrinedraden gevormd","2025-11-16T20:10:05.030549+00:00"
