"role","content","created_at"
"user","ik ben klaar om te beginnen","2025-10-15T13:20:40.178853+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

VIGNETTE 1:
Een 19-jarige jongen vertelt dat hij, terwijl hij naar zijn eerste universitaire tentamens ging, zijn hart voelde bonzen, zijn handpalmen begonnen te zweten en hij merkte dat zijn ademhaling versnelde. Hij voelde zich ook wat misselijk en had een droge mond. Nadat hij in de examenzaal was aangekomen en was gaan zitten, haalde hij een paar keer diep adem. Binnen 10 minuten vertraagde zijn hartslag, normaliseerde zijn ademhaling en kreeg hij aandrang om naar het toilet te gaan.

Kun je de symptomen van deze student uitleggen? Denk aan het deel van het autonome zenuwstelsel dat verantwoordelijk is voor deze symptomen.","2025-10-15T13:20:51.530596+00:00"
"user","het sympatisch zenuwstelsel zorgde voor onrust in het autonome zenuwstelsel waarna het weer werd gefixt","2025-10-15T13:22:29.401401+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Goed geprobeerd! Laten we even pauzeren en fase 1 – Kennisactivatie starten. In deze fase bespreken we kort de belangrijkste concepten en mechanismen die horen bij dit geval. Heb je nu al vragen of punten die je graag verduidelijkt wilt hebben voordat we samen de basiskennis bespreken?

Als je geen vraag hebt, kun je dan beschrijven wat de twee hoofddelen van het autonome zenuwstelsel zijn en wat elk daarvan doet?","2025-10-15T13:22:38.61133+00:00"
"user","wat doet het autonome zenuwstelser?","2025-10-15T13:22:54.391232+00:00"
"assistant","Goede vraag! Het autonome zenuwstelsel regelt onbewuste (automatische) functies van het lichaam, zoals hartslag, bloeddruk, ademhaling en spijsvertering. Het zorgt ervoor dat deze processen continu doorgaan zonder dat je erover na hoeft te denken.

Weet je ook hoe het autonome zenuwstelsel is opgedeeld en wat het verschil is tussen die twee onderdelen?","2025-10-15T13:23:02.495307+00:00"
"user","nee vertel","2025-10-15T13:23:09.154479+00:00"
"assistant","Het autonome zenuwstelsel bestaat uit twee hoofdonderdelen:

1. Het sympathisch zenuwstelsel: Dit deel wordt actief bij stress of gevaar (de vecht-of-vluchtreactie). Het zorgt ervoor dat je hart sneller gaat kloppen, je ademhaling versnelt, je pupillen verwijden, en je minder speeksel en spijsvertering hebt. Zo maakt je lichaam zich klaar voor actie.

2. Het parasympathisch zenuwstelsel: Dit deel is juist actief bij rust en herstel (de rust-en-verteringstoestand). Het vertraagt je hartslag, stimuleert speekselproductie, bevordert de spijsvertering, en zorgt voor ontspanning van het lichaam.

Kun je uitleggen hoe het sympathisch zenuwstelsel je lichaam voorbereidt op actie? Welke veranderingen merk je bijvoorbeeld als je zenuwachtig bent?","2025-10-15T13:23:21.278413+00:00"
"user","je gaat meer zweten, hogere hartslag, sneller ademhalen en geen honger","2025-10-15T13:24:01.279365+00:00"
"assistant","Precies, dat zijn belangrijke symptomen! Het sympathisch zenuwstelsel zorgt voor toename van hartslag, zweten, snellere ademhaling, en verminderde spijsvertering (waardoor je meestal even geen honger hebt).

Weet je ook met welke stofjes (neurotransmitters) het sympathisch zenuwstelsel deze effecten veroorzaakt? Of hoe het signaal van de hersenen wordt doorgegeven naar de organen?","2025-10-15T13:24:09.737037+00:00"
