"role","content","created_at"
"user","ik ben er klaar voor","2025-11-12T14:24:03.342786+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===  
[■□□□□]  20% – Knowledge activation started! Let’s recall how haemostasis works step by step!

Welkom! In deze activiteit ga je samen met een virtuele tutor verkennen hoe hemostase plaatsvindt aan de hand van belangrijke fysiologische principes. Je wordt begeleid om je eigen verhaal te bouwen dat uitlegt wat er gebeurt en waarom in een klinische situatie.

Door je eigen verhaal te maken over een casus, kun je ideeën koppelen, onthoud je ze langer en pas je deze kennis toe in toekomstige klinische situaties. Tegelijkertijd weerspiegelt deze manier van redeneren hoe dokters begrijpen wat er bij hun patiënten gebeurt—en dit ga je later zelf ook doen.

Deze activiteit bestaat uit drie fasen om je stap voor stap te laten leren:
Fase 1 – Kennisactivering: haal op wat je al weet over hemostase. De eerste casus is een trigger om je te laten nadenken — we komen hier later op terug.
Fase 2 – Narratief bouwen: pas die kennis toe om uit te leggen wat er gebeurt in een gegeven scenario.
Fase 3 – Redeneringstransfer: gebruik je begrip om een nieuwe casus door te denken en te zien hoe dezelfde principes werken.

Je kunt feedback over je leerproces op elk moment opvragen via de feedbackknop — dat helpt je reflecteren en te ontdekken waar je nog aandacht aan wil besteden!

Klaar om te beginnen?

Als je klaar bent, bekijk deze casus:

Een 60-jarige vrouw presenteert zich met een levensbedreigende bloeding. Ze gebruikt warfarine, een antistollingsmiddel dat werkt op de vitamine K-afhankelijke factoren, voor een hartaandoening, en had de afgelopen dagen al tandvleesbloedingen opgemerkt.  
Labuitslagen:
1. Protrombinetijd (PT): Verlengd
2. Geactiveerde partiële tromboplastinetijd (aPTT): licht verhoogd
3. Trombocytengetal: Normaal
4. Fibrinogeen: Normaal

Kun je de symptomen van de patiënt én de laboratoriumuitslagen verklaren?","2025-11-12T14:24:29.740227+00:00"
"user","doordat ze antistollingsmiddel slikt, stolt het bloed minder goed, wat goed is voor het hart, maar dus wel sneller bloedingen kan veroorzaken. vandaar de tandvleesbloeding en de nu levensbedreigende bloeding. Er zit iets van een defect in de excentrieke route, want de PT is verlengd","2025-11-12T14:26:48.978735+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===  
[■□□□□]  20% – Knowledge activation started! Lekker bezig, blijf nadenken over de basis – dat helpt je straks bij de casus!

Goed geprobeerd! Laten we even pauzeren en Fase 1 – Kennisactivering starten. In deze fase bespreken we kort de kernbegrippen en mechanismen die te maken hebben met de casus. Zijn er op dit moment specifieke vragen of punten rond hemostase die je graag eerst wilt verduidelijken?

Als je geen directe vragen hebt, kun je dan in je eigen woorden uitleggen welke hoofdprocessen je kent als het gaat om stoppen van bloedingen na een vaatbeschadiging?","2025-11-12T14:26:59.20834+00:00"
"user","er is dus eerst een vaatbeschadiging, dat activeert de primaire hemostase, waardoor bloedplaatjes naar de beschadiging gaan en daar het eerste deel van het dichten van het gat doen. daarna komt de secundaire hemostase, waarbij verschillende stollingsfactoren ervoor zorgen dat trombine wordt gemaakt, wat fibrine omzet in fibrinogeen, wat draden zijn die bij de beschadiging een netwerk voor stevigheid vormen","2025-11-12T14:28:57.82912+00:00"
"assistant","Mooi, je hebt de kern van zowel primaire als secundaire hemostase goed benoemd. 

Laten we een stapje verder kijken:  
Je noemt stollingsfactoren die elkaar activeren om uiteindelijk fibrine te vormen die het netwerk maakt. Dit noemen we de stollings- of coagulatiercascade. 

Wat weet je over de manieren waarop deze cascade gestart kan worden? Wat bedoelen we als we zeggen dat er een “intrinsieke” en een “extrinsieke” route is?","2025-11-12T14:29:06.443893+00:00"
"user","ik weet het niet","2025-11-12T14:29:27.976585+00:00"
"assistant","Geen probleem, dat is juist waarvoor deze fase bedoeld is. Je mag altijd vragen stellen!

De stollingscascade kan op twee manieren worden gestart: via de extrinsieke of de intrinsieke route. De extrinsieke route begint als weefselschade optreedt en daar een speciale stof (weefselfactor) vrijkomt die samenwerkt met factor VII. De intrinsieke route start als bloed in contact komt met bijvoorbeeld een beschadigde vaatwand en zo via een andere reeks factoren wordt geactiveerd.

Waarom denk je dat het nuttig is dat er twee verschillende startpunten (“routes”) zijn in het stollingssysteem? Wat is volgens jou het voordeel daarvan?","2025-11-12T14:29:39.495529+00:00"
"user","voor verschillende beschadigingen zijn verschillende soorten routes nodig. bij weefselbeschadiging lijkt me dat het snel moet gebeuren, de excentrieke route is korter, dus dat zou dan logisch zijn","2025-11-12T14:30:41.412829+00:00"
"assistant","Je redeneert goed! De extrinsieke route zorgt inderdaad voor een snelle start van de stolling direct na weefselbeschadiging, omdat deze route met minder stappen een snelle reactie mogelijk maakt. De intrinsieke route is uitgebreider, wat bijdraagt aan het versterken en voortzetten van het proces.

Een laatste vraag binnen deze kennisfase: wat denk je dat er gebeurt als één of meerdere van die stollingsfactoren niet goed werken of ontbreken? Wat verwacht je voor het bloedingsrisico en het beloop van de stolling?

Als je wilt, kun je ook aangeven of je deze basis snapt of dat je nog een verduidelijking wil van de routes of bepaalde begrippen. Zodra je klaar bent, gaan we door naar het toepassen van deze kennis!","2025-11-12T14:31:24.997207+00:00"
