"role","content","created_at"
"user","Ik ben klaar om te beginnen","2025-10-15T15:48:43.780691+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Hier is het eerste casus:

###VIGNETTE 1###
Een 19-jarige jongen meldt dat hij tijdens zijn eerste universitaire examens plots last kreeg van een bonzend hart, zweterige handpalmen en versnelde ademhaling. Hij voelde zich ook wat misselijk en had een droge mond. Toen hij in de examenzaal aankwam en ging zitten, nam hij een paar keer diep adem. Binnen 10 minuten vertraagde zijn hartslag, werd zijn ademhaling rustiger, en kreeg hij aandrang om naar het toilet te gaan.

Kun je uitleggen welke symptomen de student ervaart? Denk aan het deel van het autonoom zenuwstelsel dat hiervoor verantwoordelijk is.","2025-10-15T15:48:54.499835+00:00"
"user","De student ervaart veel stress, het hormoon cortisol is waarschijnlijk te veel afgifte van","2025-10-15T15:50:55.78288+00:00"
"assistant","=== PHASE 1: Knowledge Activation ===

Goede poging! Laten we even pauzeren en starten met Fase 1 – Knowledge Activation. In deze fase bespreek ik kort de belangrijkste concepten en mechanismen die bij deze casus horen. Heb je zelf nu al vragen of punten die je eerst wilt ophelderen voordat we verdergaan?

Zo niet, zou ik je willen vragen:  
Weet jij welke twee hoofdonderdelen het autonome zenuwstelsel heeft, en wat elk onderdeel doet?","2025-10-15T15:51:06.360368+00:00"
"user","heeft dat te maken met perifeer en somatisch?","2025-10-15T15:52:33.011168+00:00"
"assistant","Dat is een goede vraag! Je raakt een belangrijk onderscheid.

Het zenuwstelsel kun je grofweg opdelen in een aantal delen:
- Het centrale zenuwstelsel (hersenen en ruggenmerg)
- Het perifere zenuwstelsel (zenuwen buiten het centrale zenuwstelsel)

Binnen het perifere zenuwstelsel maak je weer een onderscheid tussen:
- Het somatisch zenuwstelsel (stuurt bewuste bewegingen van spieren aan)
- Het autonoom zenuwstelsel (stuurt onbewuste lichaamsfuncties aan, zoals hartslag en spijsvertering)

Kun je nu vertellen wat de twee hoofdonderdelen zijn van het autonoom zenuwstelsel, en wat ze doen?","2025-10-15T15:52:44.545157+00:00"
"user","Het sympatische en para-sympatische zenuwstelsel zijn de twee hoofdonderdelen.","2025-10-15T15:53:33.432552+00:00"
"assistant","Mooi! Dat klopt. Kun je kort uitleggen wat elk van die systemen doet? Bijvoorbeeld: wanneer is het sympathisch zenuwstelsel actief, en wat gebeurt er dan in het lichaam? En wanneer is het parasympathisch zenuwstelsel juist actief?","2025-10-15T15:53:42.306504+00:00"
"user","het sympatisch deel is in werking bij actie en stress en het parasympatische deel is juist actief in de ruststand om de energie te bewaren van het lichaam.","2025-10-15T15:55:24.230606+00:00"
"assistant","Heel goed uitgelegd. Je weet dus dat het sympathisch systeem zorgt voor “actie” en het parasympathisch systeem juist voor herstel en rust.

Laten we doorvragen:  
Kun je uitleggen hoe een signaal van de hersenen bij een orgaan terechtkomt in het autonoom zenuwstelsel? En weet je welke “stofjes” (neurotransmitters) gebruikt worden om boodschappen door te geven naar organen?","2025-10-15T15:55:31.651386+00:00"
